population_number,reportDate,cases,recovered,deaths,countryCode,stateCode,ags,population_density,district_name
634830,2020-03-23,441,0,1,DE,DE-BW,8111,3061,Stuttgart
634830,2020-03-24,451,0,1,DE,DE-BW,8111,3061,Stuttgart
634830,2020-03-25,504,0,2,DE,DE-BW,8111,3061,Stuttgart
634830,2020-03-26,561,0,3,DE,DE-BW,8111,3061,Stuttgart
634830,2020-03-27,635,0,5,DE,DE-BW,8111,3061,Stuttgart
634830,2020-03-28,685,0,6,DE,DE-BW,8111,3061,Stuttgart
634830,2020-03-29,685,0,6,DE,DE-BW,8111,3061,Stuttgart
634830,2020-03-30,705,0,7,DE,DE-BW,8111,3061,Stuttgart
634830,2020-03-31,784,0,7,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-01,828,0,8,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-02,860,0,9,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-03,901,0,11,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-04,926,0,12,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-05,944,0,12,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-06,944,0,12,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-07,995,0,15,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-08,1010,0,16,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-09,1010,0,16,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-10,1069,0,18,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-11,1086,0,19,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-12,1110,0,20,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-13,1146,0,23,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-14,1154,0,26,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-15,1177,0,29,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-16,1200,0,32,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-17,1207,623,33,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-18,1223,623,36,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-19,1223,623,36,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-20,1246,623,39,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-21,1249,623,44,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-22,1262,623,45,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-23,1286,623,45,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-24,1286,623,45,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-25,1290,623,45,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-26,1307,623,45,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-27,1310,623,46,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-28,1310,623,46,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-29,1317,623,50,DE,DE-BW,8111,3061,Stuttgart
634830,2020-04-30,1326,623,50,DE,DE-BW,8111,3061,Stuttgart
634830,2020-05-01,1331,623,52,DE,DE-BW,8111,3061,Stuttgart
634830,2020-05-02,1334,623,52,DE,DE-BW,8111,3061,Stuttgart
634830,2020-05-03,1340,623,52,DE,DE-BW,8111,3061,Stuttgart
634830,2020-05-04,1340,623,52,DE,DE-BW,8111,3061,Stuttgart
634830,2020-05-05,1340,623,52,DE,DE-BW,8111,3061,Stuttgart
634830,2020-05-06,1344,1201,53,DE,DE-BW,8111,3061,Stuttgart
634830,2020-05-07,1344,1201,53,DE,DE-BW,8111,3061,Stuttgart
391640,2020-03-23,187,0,1,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-03-24,224,0,0,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-03-25,233,0,1,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-03-26,263,0,3,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-03-27,333,0,7,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-03-28,369,0,7,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-03-29,385,0,7,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-03-30,413,0,8,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-03-31,432,0,10,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-01,651,0,10,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-02,695,0,11,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-03,783,0,12,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-04,821,0,13,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-05,861,0,15,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-06,915,0,16,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-07,971,0,18,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-08,1003,0,18,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-09,1032,0,20,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-10,1100,0,21,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-11,1118,0,23,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-12,1118,0,23,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-13,1155,0,27,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-14,1172,0,29,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-15,1186,0,31,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-16,1216,0,32,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-17,1222,480,32,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-18,1229,480,32,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-19,1229,480,32,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-20,1250,520,33,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-21,1268,520,34,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-22,1272,520,36,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-23,1278,559,37,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-24,1286,559,37,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-25,1286,559,38,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-26,1289,559,38,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-27,1292,559,40,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-28,1297,578,40,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-29,1298,578,40,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-04-30,1303,578,40,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-05-01,1305,578,40,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-05-02,1305,578,40,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-05-03,1306,578,41,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-05-04,1306,578,41,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-05-05,1306,578,41,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-05-06,1307,901,41,DE,DE-BW,8115,617,Landkreis Böblingen
391640,2020-05-07,1307,901,41,DE,DE-BW,8115,617,Landkreis Böblingen
533859,2020-03-23,435,0,3,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-03-24,462,0,3,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-03-25,493,0,3,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-03-26,596,0,6,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-03-27,648,0,6,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-03-28,705,0,6,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-03-29,737,0,7,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-03-30,761,0,11,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-03-31,833,0,18,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-01,881,0,20,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-02,945,0,22,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-03,1003,0,25,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-04,1070,0,26,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-05,1094,0,30,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-06,1117,0,34,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-07,1131,0,34,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-08,1203,0,39,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-09,1221,0,39,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-10,1299,0,42,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-11,1299,0,42,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-12,1357,0,45,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-13,1384,0,47,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-14,1429,0,47,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-15,1454,0,50,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-16,1468,0,53,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-17,1493,843,58,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-18,1508,843,58,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-19,1525,843,58,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-20,1532,886,62,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-21,1537,947,63,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-22,1563,1016,67,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-23,1613,1054,74,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-24,1632,1054,77,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-25,1635,1054,78,DE,DE-BW,8116,817,Landkreis Esslingen
533859,2020-04-26,1643,1054,78,DE,DE-BW,8116,817,Landkreis Esslingen
