state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Andaman and Nicobar Islands,417036,2020-06-11,34,33,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
Andaman and Nicobar Islands,417036,2020-06-12,38,33,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
Andaman and Nicobar Islands,417036,2020-06-13,38,33,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
Andaman and Nicobar Islands,417036,2020-06-14,38,33,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
Andaman and Nicobar Islands,417036,2020-06-15,38,33,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
Andaman and Nicobar Islands,417036,2020-06-16,41,33,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
Andaman and Nicobar Islands,417036,2020-06-17,44,33,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
Andaman and Nicobar Islands,417036,2020-06-18,44,33,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
Andaman and Nicobar Islands,417036,2020-06-19,44,33,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
Andaman and Nicobar Islands,417036,2020-06-20,45,35,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
Andaman and Nicobar Islands,417036,2020-06-21,47,36,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
Andaman and Nicobar Islands,417036,2020-06-22,48,37,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
Andaman and Nicobar Islands,417036,2020-06-23,48,37,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
Andaman and Nicobar Islands,417036,2020-06-24,50,40,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
Andaman and Nicobar Islands,417036,2020-06-25,56,43,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
Andaman and Nicobar Islands,417036,2020-06-26,59,43,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
Andaman and Nicobar Islands,417036,2020-06-27,72,43,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
Andaman and Nicobar Islands,417036,2020-06-28,72,43,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
