state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Aguascalientes,1312544,2020-05-21,558,384,21,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-05-22,586,402,21,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-05-23,609,405,25,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-05-24,614,412,26,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-05-25,616,433,26,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-05-26,649,464,26,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-05-27,676,473,30,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-05-28,716,494,32,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-05-29,769,523,33,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-05-30,797,545,33,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-05-31,816,557,35,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-01,816,574,35,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-02,841,596,35,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-03,890,616,35,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-04,939,650,36,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-05,1035,683,38,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-06,1072,703,48,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-07,1104,723,51,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-08,1104,752,51,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-09,1160,792,53,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-10,1222,835,56,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-11,1251,864,59,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-12,1320,901,67,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-13,1401,936,69,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-14,1431,968,70,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-15,1431,1008,70,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-16,1467,1078,71,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-17,1561,1130,84,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-18,1619,1160,93,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-19,1684,1192,98,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-20,1757,1248,106,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-21,1819,1307,109,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-22,1876,1351,110,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-23,1906,1419,112,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-24,1960,1468,114,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-25,2035,1531,119,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-26,2071,1568,122,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-27,2131,1601,129,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-28,2161,1643,134,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-29,2219,1702,134,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-06-30,2257,1772,140,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-01,2340,1827,146,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-02,2363,1877,151,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-03,2399,1933,154,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-04,2415,1975,156,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-05,2438,2018,158,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-06,2440,2065,158,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-07,2530,2129,163,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-08,2624,2163,171,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-09,2731,2207,175,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-10,2775,2240,179,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-11,2829,2263,185,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-12,2875,2323,185,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-13,2905,2371,185,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-14,2977,2430,187,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-15,3052,2483,193,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-16,3083,2558,193,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-17,3207,2605,201,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-18,3235,2629,205,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-19,3378,2770,207,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-20,3486,2721,209,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-21,3486,2745,209,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-22,3600,2849,220,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-23,3620,2864,224,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-24,3692,2954,231,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-25,3763,3006,231,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-26,3777,2995,243,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-27,3777,3059,243,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-28,3883,3224,247,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-29,3883,3214,247,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-30,3927,3260,247,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-07-31,3983,3239,253,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-08-01,4028,3363,260,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-08-02,4120,3407,263,MX,MX-AGUASCALIENTES
