state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Adygea Republic,453376,2020-06-08,1069,606,10,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-09,1115,618,10,RU,RU-ADYGEA-REPUBLIC
Altai Krai,2350080,2020-06-08,2390,1107,14,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-09,2458,1197,15,RU,RU-ALTAI-KRAI
Altai Republic,218063,2020-06-08,180,101,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-09,190,104,0,RU,RU-ALTAI-REPUBLIC
Amur Oblast,798424,2020-06-08,748,252,5,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-09,796,261,5,RU,RU-AMUR-OBLAST
Arkhangelsk Oblast,1155028,2020-06-08,2989,858,10,RU,RU-ARKHANGELSK-OBLAST
Arkhangelsk Oblast,1155028,2020-06-09,3085,897,10,RU,RU-ARKHANGELSK-OBLAST
Astrakhan Oblast,1017514,2020-06-08,2337,1294,22,RU,RU-ASTRAKHAN-OBLAST
Astrakhan Oblast,1017514,2020-06-09,2420,1362,22,RU,RU-ASTRAKHAN-OBLAST
Bashkortostan Republic,4063293,2020-06-08,4017,1453,18,RU,RU-BASHKORTOSTAN-REPUBLIC
Bashkortostan Republic,4063293,2020-06-09,4113,1505,18,RU,RU-BASHKORTOSTAN-REPUBLIC
Belgorod Oblast,1549876,2020-06-08,2913,1356,27,RU,RU-BELGOROD-OBLAST
Belgorod Oblast,1549876,2020-06-09,2988,1467,28,RU,RU-BELGOROD-OBLAST
Bryansk Oblast,1210982,2020-06-08,4458,3021,31,RU,RU-BRYANSK-OBLAST
Bryansk Oblast,1210982,2020-06-09,4551,3120,31,RU,RU-BRYANSK-OBLAST
Buryatia Republic,984511,2020-06-08,1833,1067,11,RU,RU-BURYATIA-REPUBLIC
Buryatia Republic,984511,2020-06-09,1877,1113,11,RU,RU-BURYATIA-REPUBLIC
Chechen Republic,1436981,2020-06-08,1365,993,15,RU,RU-CHECHEN-REPUBLIC
Chechen Republic,1436981,2020-06-09,1384,1024,16,RU,RU-CHECHEN-REPUBLIC
Chelyabinsk Oblast,3493036,2020-06-08,3737,1801,31,RU,RU-CHELYABINSK-OBLAST
Chelyabinsk Oblast,3493036,2020-06-09,3880,1867,33,RU,RU-CHELYABINSK-OBLAST
Chukotka Autonomous Okrug,49348,2020-06-08,106,65,1,RU,RU-CHUKOTKA-AUTONOMOUS-OKRUG
Chukotka Autonomous Okrug,49348,2020-06-09,110,68,1,RU,RU-CHUKOTKA-AUTONOMOUS-OKRUG
Chuvashia Republic,1231117,2020-06-08,3561,1727,16,RU,RU-CHUVASHIA-REPUBLIC
Chuvashia Republic,1231117,2020-06-09,3646,1769,18,RU,RU-CHUVASHIA-REPUBLIC
Dagestan Republic,3063885,2020-06-08,5970,4587,308,RU,RU-DAGESTAN-REPUBLIC
Dagestan Republic,3063885,2020-06-09,6077,4611,309,RU,RU-DAGESTAN-REPUBLIC
Ingushetia Republic,488043,2020-06-08,2368,1508,61,RU,RU-INGUSHETIA-REPUBLIC
Ingushetia Republic,488043,2020-06-09,2399,1623,62,RU,RU-INGUSHETIA-REPUBLIC
Irkutsk Oblast,2404195,2020-06-08,2877,725,16,RU,RU-IRKUTSK-OBLAST
Irkutsk Oblast,2404195,2020-06-09,3083,820,18,RU,RU-IRKUTSK-OBLAST
Ivanovo Oblast,1014646,2020-06-08,2822,1091,22,RU,RU-IVANOVO-OBLAST
Ivanovo Oblast,1014646,2020-06-09,2930,1196,25,RU,RU-IVANOVO-OBLAST
Jewish Autonomous Okrug,162014,2020-06-08,347,250,4,RU,RU-JEWISH-AUTONOMOUS-OKRUG
Jewish Autonomous Okrug,162014,2020-06-09,350,256,4,RU,RU-JEWISH-AUTONOMOUS-OKRUG
Kabardino-Balkarian Republic,865828,2020-06-08,3424,1649,33,RU,RU-KABARDINO-BALKARIAN-REPUBLIC
Kabardino-Balkarian Republic,865828,2020-06-09,3499,1753,33,RU,RU-KABARDINO-BALKARIAN-REPUBLIC
Kaliningrad Oblast,994599,2020-06-08,1813,782,24,RU,RU-KALININGRAD-OBLAST
Kaliningrad Oblast,994599,2020-06-09,1858,847,25,RU,RU-KALININGRAD-OBLAST
Kalmykia Republic,275413,2020-06-08,1179,631,16,RU,RU-KALMYKIA-REPUBLIC
Kalmykia Republic,275413,2020-06-09,1180,697,16,RU,RU-KALMYKIA-REPUBLIC
Kaluga Oblast,1012056,2020-06-08,4600,2119,36,RU,RU-KALUGA-OBLAST
Kaluga Oblast,1012056,2020-06-09,4691,2240,36,RU,RU-KALUGA-OBLAST
Kamchatka Krai,315557,2020-06-08,1168,310,10,RU,RU-KAMCHATKA-KRAI
Kamchatka Krai,315557,2020-06-09,1214,314,10,RU,RU-KAMCHATKA-KRAI
Karachay-Cherkess Republic,466305,2020-06-08,1654,453,9,RU,RU-KARACHAY-CHERKESS-REPUBLIC
Karachay-Cherkess Republic,466305,2020-06-09,1729,472,9,RU,RU-KARACHAY-CHERKESS-REPUBLIC
Karelia Republic,622484,2020-06-08,633,226,2,RU,RU-KARELIA-REPUBLIC
Karelia Republic,622484,2020-06-09,656,238,2,RU,RU-KARELIA-REPUBLIC
Kemerovo Oblast,2694877,2020-06-08,752,322,7,RU,RU-KEMEROVO-OBLAST
Kemerovo Oblast,2694877,2020-06-09,786,332,7,RU,RU-KEMEROVO-OBLAST
Khabarovsk Krai,1328302,2020-06-08,2596,1314,17,RU,RU-KHABAROVSK-KRAI
Khabarovsk Krai,1328302,2020-06-09,2661,1382,17,RU,RU-KHABAROVSK-KRAI
Khakassia Republic,537513,2020-06-08,1141,782,10,RU,RU-KHAKASSIA-REPUBLIC
Khakassia Republic,537513,2020-06-09,1165,822,10,RU,RU-KHAKASSIA-REPUBLIC
Khanty-Mansi Autonomous Okrug,1532243,2020-06-08,3475,1186,21,RU,RU-KHANTY-MANSI-AUTONOMOUS-OKRUG
Khanty-Mansi Autonomous Okrug,1532243,2020-06-09,3624,1204,21,RU,RU-KHANTY-MANSI-AUTONOMOUS-OKRUG
Kirov Oblast,1283238,2020-06-08,2260,1206,20,RU,RU-KIROV-OBLAST
Kirov Oblast,1283238,2020-06-09,2300,1218,20,RU,RU-KIROV-OBLAST
Komi Republic,840873,2020-06-08,1600,890,26,RU,RU-KOMI-REPUBLIC
Komi Republic,840873,2020-06-09,1626,911,27,RU,RU-KOMI-REPUBLIC
Kostroma Oblast,643324,2020-06-08,926,489,12,RU,RU-KOSTROMA-OBLAST
Kostroma Oblast,643324,2020-06-09,953,506,12,RU,RU-KOSTROMA-OBLAST
Krasnodar Krai,5603420,2020-06-08,4485,3311,44,RU,RU-KRASNODAR-KRAI
Krasnodar Krai,5603420,2020-06-09,4574,3383,46,RU,RU-KRASNODAR-KRAI
Krasnoyarsk Krai,2876497,2020-06-08,5460,1570,49,RU,RU-KRASNOYARSK-KRAI
Krasnoyarsk Krai,2876497,2020-06-09,5617,1811,50,RU,RU-KRASNOYARSK-KRAI
Kurgan Oblast,845537,2020-06-08,306,183,0,RU,RU-KURGAN-OBLAST
Kurgan Oblast,845537,2020-06-09,314,200,0,RU,RU-KURGAN-OBLAST
Kursk Oblast,1115237,2020-06-08,3561,1803,16,RU,RU-KURSK-OBLAST
Kursk Oblast,1115237,2020-06-09,3619,1858,17,RU,RU-KURSK-OBLAST
Leningrad Oblast,1813816,2020-06-08,3238,2221,18,RU,RU-LENINGRAD-OBLAST
Leningrad Oblast,1813816,2020-06-09,3287,2321,19,RU,RU-LENINGRAD-OBLAST
Lipetsk Oblast,1150201,2020-06-08,2637,1018,8,RU,RU-LIPETSK-OBLAST
Lipetsk Oblast,1150201,2020-06-09,2697,1026,8,RU,RU-LIPETSK-OBLAST
Magadan Oblast,144091,2020-06-08,339,211,3,RU,RU-MAGADAN-OBLAST
Magadan Oblast,144091,2020-06-09,348,213,4,RU,RU-MAGADAN-OBLAST
