state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Antofagasta,607534,2020-05-21,1778,0,17,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-05-22,1841,0,17,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-05-23,1897,0,21,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-05-24,1947,0,21,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-05-25,2015,0,21,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-05-26,2063,0,23,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-05-27,2137,0,25,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-05-28,2248,0,28,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-05-29,2318,0,28,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-05-30,2429,0,29,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-05-31,2510,0,31,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-06-01,2585,0,32,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-06-02,2649,0,0,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-06-03,2716,0,0,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-06-04,2862,0,38,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-06-05,2924,0,42,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-06-06,3033,0,47,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-06-07,3154,0,47,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-06-08,3245,0,45,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-06-09,3402,0,45,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-06-10,3402,0,45,CL,CL-ANTOFAGASTA
Araucanía,957224,2020-05-21,1715,0,44,CL,CL-ARAUCANIA
Araucanía,957224,2020-05-22,1737,0,45,CL,CL-ARAUCANIA
Araucanía,957224,2020-05-23,1774,0,45,CL,CL-ARAUCANIA
Araucanía,957224,2020-05-24,1808,0,45,CL,CL-ARAUCANIA
Araucanía,957224,2020-05-25,1857,0,45,CL,CL-ARAUCANIA
Araucanía,957224,2020-05-26,1883,0,45,CL,CL-ARAUCANIA
Araucanía,957224,2020-05-27,1916,0,45,CL,CL-ARAUCANIA
Araucanía,957224,2020-05-28,1954,0,45,CL,CL-ARAUCANIA
Araucanía,957224,2020-05-29,1989,0,47,CL,CL-ARAUCANIA
Araucanía,957224,2020-05-30,2060,0,47,CL,CL-ARAUCANIA
Araucanía,957224,2020-05-31,2071,0,47,CL,CL-ARAUCANIA
Araucanía,957224,2020-06-01,2111,0,47,CL,CL-ARAUCANIA
Araucanía,957224,2020-06-02,2141,0,0,CL,CL-ARAUCANIA
Araucanía,957224,2020-06-03,2173,0,0,CL,CL-ARAUCANIA
Araucanía,957224,2020-06-04,2182,0,47,CL,CL-ARAUCANIA
Araucanía,957224,2020-06-05,2288,0,48,CL,CL-ARAUCANIA
Araucanía,957224,2020-06-06,2321,0,49,CL,CL-ARAUCANIA
Araucanía,957224,2020-06-07,2377,0,50,CL,CL-ARAUCANIA
Araucanía,957224,2020-06-08,2410,0,32,CL,CL-ARAUCANIA
Araucanía,957224,2020-06-09,2445,0,32,CL,CL-ARAUCANIA
Araucanía,957224,2020-06-10,2445,0,32,CL,CL-ARAUCANIA
Arica y Parinacota,226068,2020-05-21,453,0,7,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-05-22,471,0,7,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-05-23,482,0,7,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-05-24,498,0,7,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-05-25,513,0,7,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-05-26,522,0,7,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-05-27,541,0,7,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-05-28,562,0,7,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-05-29,582,0,7,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-05-30,588,0,7,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-05-31,619,0,7,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-06-01,636,0,8,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-06-02,654,0,0,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-06-03,701,0,0,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-06-04,736,0,8,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-06-05,782,0,9,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-06-06,819,0,9,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-06-07,850,0,10,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-06-08,874,0,8,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-06-09,914,0,8,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-06-10,914,0,8,CL,CL-ARICA-Y-PARINACOTA
Atacama,286168,2020-05-21,168,0,0,CL,CL-ATACAMA
Atacama,286168,2020-05-22,175,0,0,CL,CL-ATACAMA
Atacama,286168,2020-05-23,182,0,0,CL,CL-ATACAMA
Atacama,286168,2020-05-24,182,0,0,CL,CL-ATACAMA
Atacama,286168,2020-05-25,185,0,0,CL,CL-ATACAMA
Atacama,286168,2020-05-26,188,0,0,CL,CL-ATACAMA
Atacama,286168,2020-05-27,197,0,0,CL,CL-ATACAMA
Atacama,286168,2020-05-28,202,0,0,CL,CL-ATACAMA
Atacama,286168,2020-05-29,207,0,0,CL,CL-ATACAMA
Atacama,286168,2020-05-30,215,0,0,CL,CL-ATACAMA
Atacama,286168,2020-05-31,218,0,0,CL,CL-ATACAMA
Atacama,286168,2020-06-01,232,0,0,CL,CL-ATACAMA
Atacama,286168,2020-06-02,236,0,0,CL,CL-ATACAMA
Atacama,286168,2020-06-03,242,0,0,CL,CL-ATACAMA
Atacama,286168,2020-06-04,258,0,0,CL,CL-ATACAMA
Atacama,286168,2020-06-05,269,0,0,CL,CL-ATACAMA
Atacama,286168,2020-06-06,281,0,0,CL,CL-ATACAMA
Atacama,286168,2020-06-07,306,0,0,CL,CL-ATACAMA
Atacama,286168,2020-06-08,339,0,0,CL,CL-ATACAMA
Atacama,286168,2020-06-09,348,0,0,CL,CL-ATACAMA
Atacama,286168,2020-06-10,348,0,0,CL,CL-ATACAMA
Aysén,103158,2020-05-21,8,0,0,CL,CL-AYSEN
Aysén,103158,2020-05-22,8,0,0,CL,CL-AYSEN
Aysén,103158,2020-05-23,8,0,0,CL,CL-AYSEN
Aysén,103158,2020-05-24,8,0,0,CL,CL-AYSEN
Aysén,103158,2020-05-25,10,0,0,CL,CL-AYSEN
Aysén,103158,2020-05-26,12,0,0,CL,CL-AYSEN
Aysén,103158,2020-05-27,12,0,0,CL,CL-AYSEN
Aysén,103158,2020-05-28,14,0,0,CL,CL-AYSEN
Aysén,103158,2020-05-29,16,0,0,CL,CL-AYSEN
Aysén,103158,2020-05-30,16,0,0,CL,CL-AYSEN
Aysén,103158,2020-05-31,17,0,0,CL,CL-AYSEN
Aysén,103158,2020-06-01,17,0,0,CL,CL-AYSEN
Aysén,103158,2020-06-02,18,0,0,CL,CL-AYSEN
Aysén,103158,2020-06-03,18,0,0,CL,CL-AYSEN
Aysén,103158,2020-06-04,19,0,0,CL,CL-AYSEN
Aysén,103158,2020-06-05,19,0,0,CL,CL-AYSEN
Aysén,103158,2020-06-06,19,0,0,CL,CL-AYSEN
Aysén,103158,2020-06-07,20,0,0,CL,CL-AYSEN
Aysén,103158,2020-06-08,21,0,0,CL,CL-AYSEN
Aysén,103158,2020-06-09,21,0,0,CL,CL-AYSEN
Aysén,103158,2020-06-10,21,0,0,CL,CL-AYSEN
Biobío,1556805,2020-05-21,1263,0,9,CL,CL-BIOBIO
Biobío,1556805,2020-05-22,1311,0,10,CL,CL-BIOBIO
Biobío,1556805,2020-05-23,1354,0,10,CL,CL-BIOBIO
Biobío,1556805,2020-05-24,1414,0,10,CL,CL-BIOBIO
Biobío,1556805,2020-05-25,1458,0,10,CL,CL-BIOBIO
Biobío,1556805,2020-05-26,1502,0,10,CL,CL-BIOBIO
Biobío,1556805,2020-05-27,1565,0,10,CL,CL-BIOBIO
Biobío,1556805,2020-05-28,1677,0,10,CL,CL-BIOBIO
Biobío,1556805,2020-05-29,1778,0,11,CL,CL-BIOBIO
Biobío,1556805,2020-05-30,1888,0,11,CL,CL-BIOBIO
Biobío,1556805,2020-05-31,1979,0,11,CL,CL-BIOBIO
Biobío,1556805,2020-06-01,2070,0,11,CL,CL-BIOBIO
Biobío,1556805,2020-06-02,2082,0,0,CL,CL-BIOBIO
Biobío,1556805,2020-06-03,2215,0,0,CL,CL-BIOBIO
Biobío,1556805,2020-06-04,2301,0,13,CL,CL-BIOBIO
Biobío,1556805,2020-06-05,2379,0,13,CL,CL-BIOBIO
Biobío,1556805,2020-06-06,2490,0,13,CL,CL-BIOBIO
Biobío,1556805,2020-06-07,2595,0,13,CL,CL-BIOBIO
Biobío,1556805,2020-06-08,2651,0,11,CL,CL-BIOBIO
Biobío,1556805,2020-06-09,2694,0,11,CL,CL-BIOBIO
Biobío,1556805,2020-06-10,2694,0,11,CL,CL-BIOBIO
Coquimbo,757586,2020-05-21,268,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-05-22,281,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-05-23,294,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-05-24,323,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-05-25,338,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-05-26,384,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-05-27,455,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-05-28,482,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-05-29,537,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-05-30,597,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-05-31,628,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-06-01,668,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-06-02,687,0,0,CL,CL-COQUIMBO
Coquimbo,757586,2020-06-03,718,0,0,CL,CL-COQUIMBO
Coquimbo,757586,2020-06-04,772,0,4,CL,CL-COQUIMBO
Coquimbo,757586,2020-06-05,832,0,5,CL,CL-COQUIMBO
Coquimbo,757586,2020-06-06,898,0,5,CL,CL-COQUIMBO
Coquimbo,757586,2020-06-07,990,0,5,CL,CL-COQUIMBO
Coquimbo,757586,2020-06-08,1123,0,5,CL,CL-COQUIMBO
Coquimbo,757586,2020-06-09,1175,0,5,CL,CL-COQUIMBO
Coquimbo,757586,2020-06-10,1175,0,5,CL,CL-COQUIMBO
Los Lagos,828708,2020-05-21,693,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-05-22,717,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-05-23,727,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-05-24,736,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-05-25,763,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-05-26,781,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-05-27,791,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-05-28,814,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-05-29,822,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-05-30,860,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-05-31,863,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-06-01,863,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-06-02,894,0,0,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-06-03,913,0,0,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-06-04,926,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-06-05,968,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-06-06,985,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-06-07,1003,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-06-08,1010,0,12,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-06-09,1028,0,12,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-06-10,1028,0,12,CL,CL-LOS-LAGOS
Los Rios,384837,2020-05-21,258,0,6,CL,CL-LOS-RIOS
Los Rios,384837,2020-05-22,262,0,6,CL,CL-LOS-RIOS
Los Rios,384837,2020-05-23,274,0,6,CL,CL-LOS-RIOS
Los Rios,384837,2020-05-24,290,0,6,CL,CL-LOS-RIOS
Los Rios,384837,2020-05-25,297,0,6,CL,CL-LOS-RIOS
Los Rios,384837,2020-05-26,304,0,6,CL,CL-LOS-RIOS
Los Rios,384837,2020-05-27,309,0,6,CL,CL-LOS-RIOS
Los Rios,384837,2020-05-28,318,0,6,CL,CL-LOS-RIOS
Los Rios,384837,2020-05-29,330,0,6,CL,CL-LOS-RIOS
Los Rios,384837,2020-05-30,345,0,6,CL,CL-LOS-RIOS
Los Rios,384837,2020-05-31,356,0,6,CL,CL-LOS-RIOS
Los Rios,384837,2020-06-01,363,0,7,CL,CL-LOS-RIOS
Los Rios,384837,2020-06-02,368,0,0,CL,CL-LOS-RIOS
Los Rios,384837,2020-06-03,372,0,0,CL,CL-LOS-RIOS
Los Rios,384837,2020-06-04,379,0,8,CL,CL-LOS-RIOS
Los Rios,384837,2020-06-05,390,0,8,CL,CL-LOS-RIOS
Los Rios,384837,2020-06-06,400,0,8,CL,CL-LOS-RIOS
Los Rios,384837,2020-06-07,417,0,8,CL,CL-LOS-RIOS
Los Rios,384837,2020-06-08,425,0,8,CL,CL-LOS-RIOS
Los Rios,384837,2020-06-09,446,0,8,CL,CL-LOS-RIOS
Los Rios,384837,2020-06-10,446,0,8,CL,CL-LOS-RIOS
Magallanes,166533,2020-05-21,987,0,18,CL,CL-MAGALLANES
Magallanes,166533,2020-05-22,992,0,18,CL,CL-MAGALLANES
Magallanes,166533,2020-05-23,997,0,18,CL,CL-MAGALLANES
Magallanes,166533,2020-05-24,1010,0,18,CL,CL-MAGALLANES
Magallanes,166533,2020-05-25,1016,0,18,CL,CL-MAGALLANES
Magallanes,166533,2020-05-26,1031,0,18,CL,CL-MAGALLANES
Magallanes,166533,2020-05-27,1037,0,18,CL,CL-MAGALLANES
Magallanes,166533,2020-05-28,1040,0,18,CL,CL-MAGALLANES
Magallanes,166533,2020-05-29,1047,0,19,CL,CL-MAGALLANES
Magallanes,166533,2020-05-30,1054,0,19,CL,CL-MAGALLANES
Magallanes,166533,2020-05-31,1056,0,19,CL,CL-MAGALLANES
Magallanes,166533,2020-06-01,1056,0,19,CL,CL-MAGALLANES
Magallanes,166533,2020-06-02,1060,0,0,CL,CL-MAGALLANES
Magallanes,166533,2020-06-03,1063,0,0,CL,CL-MAGALLANES
Magallanes,166533,2020-06-04,1069,0,19,CL,CL-MAGALLANES
Magallanes,166533,2020-06-05,1072,0,19,CL,CL-MAGALLANES
Magallanes,166533,2020-06-06,1081,0,19,CL,CL-MAGALLANES
