reportDate,cases,quaratined,hospitalized,recovered,infected,deaths,population_number,population_density,ags,source
01-03-2020,4,3,1,0,4,0,1085664,2700,5315,Stadt Köln
02-03-2020,5,5,0,0,5,0,1085664,2700,5315,Stadt Köln
03-03-2020,6,6,0,0,6,0,1085664,2700,5315,Stadt Köln
04-03-2020,12,12,0,0,12,0,1085664,2700,5315,Stadt Köln
05-03-2020,15,15,0,0,15,0,1085664,2700,5315,Stadt Köln
06-03-2020,19,19,0,0,19,0,1085664,2700,5315,Stadt Köln
07-03-2020,29,27,1,1,28,0,1085664,2700,5315,Stadt Köln
08-03-2020,30,28,1,1,29,0,1085664,2700,5315,Stadt Köln
09-03-2020,33,31,1,1,32,0,1085664,2700,5315,Stadt Köln
10-03-2020,43,38,4,1,42,0,1085664,2700,5315,Stadt Köln
11-03-2020,54,48,5,1,53,0,1085664,2700,5315,Stadt Köln
12-03-2020,65,60,4,1,64,0,1085664,2700,5315,Stadt Köln
13-03-2020,123,117,5,1,122,0,1085664,2700,5315,Stadt Köln
14-03-2020,154,147,6,1,153,0,1085664,2700,5315,Stadt Köln
15-03-2020,244,234,7,3,241,0,1085664,2700,5315,Stadt Köln
16-03-2020,301,289,9,3,298,0,1085664,2700,5315,Stadt Köln
17-03-2020,384,372,8,3,380,1,1085664,2700,5315,Stadt Köln
18-03-2020,478,465,9,3,474,1,1085664,2700,5315,Stadt Köln
19-03-2020,586,565,9,11,574,1,1085664,2700,5315,Stadt Köln
20-03-2020,679,655,11,11,666,2,1085664,2700,5315,Stadt Köln
21-03-2020,773,739,18,14,757,2,1085664,2700,5315,Stadt Köln
22-03-2020,817,756,24,34,780,3,1085664,2700,5315,Stadt Köln
23-03-2020,857,733,30,91,763,3,1085664,2700,5315,Stadt Köln
24-03-2020,920,647,35,235,682,3,1085664,2700,5315,Stadt Köln
25-03-2020,1002,671,43,284,714,4,1085664,2700,5315,Stadt Köln
26-03-2020,1075,743,43,284,786,5,1085664,2700,5315,Stadt Köln
27-03-2020,1161,685,52,417,737,7,1085664,2700,5315,Stadt Köln
28-03-2020,1249,740,77,423,817,9,1085664,2700,5315,Stadt Köln
29-03-2020,1319,750,96,462,846,11,1085664,2700,5315,Stadt Köln
30-03-2020,1369,795,101,462,896,11,1085664,2700,5315,Stadt Köln
31-03-2020,1431,757,109,551,866,14,1085664,2700,5315,Stadt Köln
01-04-2020,1540,787,116,619,903,18,1085664,2700,5315,Stadt Köln
02-04-2020,1666,850,130,663,980,23,1085664,2700,5315,Stadt Köln
03-04-2020,1715,820,139,730,959,26,1085664,2700,5315,Stadt Köln
04-04-2020,1748,860,131,730,991,27,1085664,2700,5315,Stadt Köln
05-04-2020,1768,867,140,730,1007,31,1085664,2700,5315,Stadt Köln
06-04-2020,1792,737,142,880,879,33,1085664,2700,5315,Stadt Köln
07-04-2020,1839,722,145,938,867,34,1085664,2700,5315,Stadt Köln
08-04-2020,1865,622,148,1017,810,38,1085664,2700,5315,Stadt Köln
09-04-2020,1947,684,139,1081,823,43,1085664,2700,5315,Stadt Köln
10-04-2020,1993,645,153,1151,798,44,1085664,2700,5315,Stadt Köln
11-04-2020,2016,635,149,1185,784,47,1085664,2700,5315,Stadt Köln
12-04-2020,2027,610,148,1219,758,50,1085664,2700,5315,Stadt Köln
13-04-2020,2054,442,141,1418,583,53,1085664,2700,5315,Stadt Köln
14-04-2020,2067,353,142,1514,495,58,1085664,2700,5315,Stadt Köln
15-04-2020,2095,310,148,1579,458,58,1085664,2700,5315,Stadt Köln
16-04-2020,2119,291,149,1619,440,60,1085664,2700,5315,Stadt Köln
17-04-2020,2149,301,131,1648,432,63,1085664,2700,5315,Stadt Köln
18-04-2020,2162,315,129,1655,444,63,1085664,2700,5315,Stadt Köln
19-04-2020,2171,311,124,1673,435,63,1085664,2700,5315,Stadt Köln
20-04-2020,2177,256,119,1736,375,66,1085664,2700,5315,Stadt Köln
21-04-2020,2184,222,113,1779,335,70,1085664,2700,5315,Stadt Köln
22-04-2020,2207,191,113,1831,304,72,1085664,2700,5315,Stadt Köln
23-04-2020,2225,157,106,1885,263,77,1085664,2700,5315,Stadt Köln
24-04-2020,2234,124,105,1922,229,83,1085664,2700,5315,Stadt Köln
25-04-2020,2245,103,104,1954,206,84,1085664,2700,5315,Stadt Köln
26-04-2020,2253,106,99,1964,205,84,1085664,2700,5315,Stadt Köln
27-04-2020,2259,94,99,1981,193,85,1085664,2700,5315,Stadt Köln
28-04-2020,2267,109,82,1989,191,87,1085664,2700,5315,Stadt Köln
29-04-2020,2277,76,82,2030,158,89,1085664,2700,5315,Stadt Köln
30-04-2020,2294,59,72,2073,111,90,1085664,2700,5315,Stadt Köln
01-05-2020,2317,72,71,2084,143,90,1085664,2700,5315,Stadt Köln
02-05-2020,2322,62,76,2092,138,92,1085664,2700,5315,Stadt Köln
03-05-2020,2325,68,67,2098,135,92,1085664,2700,5315,Stadt Köln
04-05-2020,2330,62,68,2108,130,92,1085664,2700,5315,Stadt Köln
05-05-2020,2338,36,78,2131,114,93,1085664,2700,5315,Stadt Köln
06-05-2020,2352,47,62,2150,109,93,1085664,2700,5315,Stadt Köln
07-05-2020,2366,47,62,2163,109,94,1085664,2700,5315,Stadt Köln
08-05-2020,2377,63,58,2162,121,94,1085664,2700,5315,Stadt Köln
09-05-2020,2386,70,58,2164,128,94,1085664,2700,5315,Stadt Köln
10-05-2020,2389,55,55,2182,110,97,1085664,2700,5315,Stadt Köln
11-05-2020,2389,33,55,2204,88,97,1085664,2700,5315,Stadt Köln
