state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Azad Jammu and Kashmir,4045366,2020-06-11,488,219,9,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-12,534,237,10,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-13,574,242,11,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-14,604,250,12,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-15,647,254,13,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-16,663,264,13,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-17,703,290,13,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-18,740,302,15,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-19,769,312,15,PK,PK-AZAD-JAMMU-AND-KASHMIR
Balochistan,12344408,2020-06-11,7335,2592,73,PK,PK-BALOCHISTAN
Balochistan,12344408,2020-06-12,7673,2673,75,PK,PK-BALOCHISTAN
Balochistan,12344408,2020-06-13,7866,2722,80,PK,PK-BALOCHISTAN
Balochistan,12344408,2020-06-14,8028,2795,83,PK,PK-BALOCHISTAN
Balochistan,12344408,2020-06-15,8177,2859,85,PK,PK-BALOCHISTAN
Balochistan,12344408,2020-06-16,8327,2916,85,PK,PK-BALOCHISTAN
Balochistan,12344408,2020-06-17,8437,3023,89,PK,PK-BALOCHISTAN
Balochistan,12344408,2020-06-18,8794,3051,93,PK,PK-BALOCHISTAN
Balochistan,12344408,2020-06-19,8998,3140,99,PK,PK-BALOCHISTAN
Gilgit-Baltistan,1013584,2020-06-11,1018,633,14,PK,PK-GILGIT-BALTISTAN
Gilgit-Baltistan,1013584,2020-06-12,1030,673,15,PK,PK-GILGIT-BALTISTAN
Gilgit-Baltistan,1013584,2020-06-13,1044,676,16,PK,PK-GILGIT-BALTISTAN
Gilgit-Baltistan,1013584,2020-06-14,1095,691,16,PK,PK-GILGIT-BALTISTAN
Gilgit-Baltistan,1013584,2020-06-15,1129,716,16,PK,PK-GILGIT-BALTISTAN
Gilgit-Baltistan,1013584,2020-06-16,1143,728,17,PK,PK-GILGIT-BALTISTAN
Gilgit-Baltistan,1013584,2020-06-17,1164,738,17,PK,PK-GILGIT-BALTISTAN
Gilgit-Baltistan,1013584,2020-06-18,1213,768,18,PK,PK-GILGIT-BALTISTAN
Gilgit-Baltistan,1013584,2020-06-19,1225,794,18,PK,PK-GILGIT-BALTISTAN
Islamabad,2006572,2020-06-11,6236,1164,62,PK,PK-ISLAMABAD
Islamabad,2006572,2020-06-12,6699,1164,65,PK,PK-ISLAMABAD
Islamabad,2006572,2020-06-13,7163,1671,71,PK,PK-ISLAMABAD
Islamabad,2006572,2020-06-14,7934,1671,75,PK,PK-ISLAMABAD
Islamabad,2006572,2020-06-15,8569,2037,78,PK,PK-ISLAMABAD
Islamabad,2006572,2020-06-16,8857,2037,83,PK,PK-ISLAMABAD
Islamabad,2006572,2020-06-17,9242,2439,90,PK,PK-ISLAMABAD
Islamabad,2006572,2020-06-18,9637,2439,94,PK,PK-ISLAMABAD
Islamabad,2006572,2020-06-19,9941,2770,95,PK,PK-ISLAMABAD
Khyber Pakhtunkhwa,30523371,2020-06-11,15206,3771,619,PK,PK-KHYBER-PAKHTUNKHWA
Khyber Pakhtunkhwa,30523371,2020-06-12,15787,3907,632,PK,PK-KHYBER-PAKHTUNKHWA
Khyber Pakhtunkhwa,30523371,2020-06-13,16415,4072,642,PK,PK-KHYBER-PAKHTUNKHWA
Khyber Pakhtunkhwa,30523371,2020-06-14,17450,4291,661,PK,PK-KHYBER-PAKHTUNKHWA
Khyber Pakhtunkhwa,30523371,2020-06-15,18013,4539,675,PK,PK-KHYBER-PAKHTUNKHWA
Khyber Pakhtunkhwa,30523371,2020-06-16,18472,4692,707,PK,PK-KHYBER-PAKHTUNKHWA
Khyber Pakhtunkhwa,30523371,2020-06-17,19107,4922,731,PK,PK-KHYBER-PAKHTUNKHWA
Khyber Pakhtunkhwa,30523371,2020-06-18,19613,5137,755,PK,PK-KHYBER-PAKHTUNKHWA
Khyber Pakhtunkhwa,30523371,2020-06-19,20182,5441,773,PK,PK-KHYBER-PAKHTUNKHWA
Punjab,110012442,2020-06-11,45463,9005,841,PK,PK-PUNJAB
Punjab,110012442,2020-06-12,47382,9546,890,PK,PK-PUNJAB
Punjab,110012442,2020-06-13,50087,17560,938,PK,PK-PUNJAB
Punjab,110012442,2020-06-14,52601,17650,969,PK,PK-PUNJAB
Punjab,110012442,2020-06-15,54138,17710,1031,PK,PK-PUNJAB
Punjab,110012442,2020-06-16,55878,17730,1081,PK,PK-PUNJAB
Punjab,110012442,2020-06-17,58239,17780,1149,PK,PK-PUNJAB
Punjab,110012442,2020-06-18,60138,17825,1202,PK,PK-PUNJAB
Punjab,110012442,2020-06-19,61678,17892,1265,PK,PK-PUNJAB
Sindh,47886051,2020-06-11,43790,21007,738,PK,PK-SINDH
Sindh,47886051,2020-06-12,46828,22047,776,PK,PK-SINDH
Sindh,47886051,2020-06-13,49256,23113,793,PK,PK-SINDH
