state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
England,55977200,2020-06-11,156018,0,36883,UK,UK-ENGLAND
England,55977200,2020-06-12,156410,0,37069,UK,UK-ENGLAND
England,55977200,2020-06-13,156782,0,37240,UK,UK-ENGLAND
England,55977200,2020-06-14,157074,0,37266,UK,UK-ENGLAND
England,55977200,2020-06-15,157293,0,37299,UK,UK-ENGLAND
England,55977200,2020-06-16,157545,0,37524,UK,UK-ENGLAND
England,55977200,2020-06-17,157797,0,37692,UK,UK-ENGLAND
England,55977200,2020-06-18,158078,0,37812,UK,UK-ENGLAND
England,55977200,2020-06-19,158401,0,37979,UK,UK-ENGLAND
Northern Ireland,1881600,2020-06-11,4822,0,537,UK,UK-NORTHERN-IRELAND
Northern Ireland,1881600,2020-06-12,4838,0,538,UK,UK-NORTHERN-IRELAND
Northern Ireland,1881600,2020-06-13,4841,0,539,UK,UK-NORTHERN-IRELAND
Northern Ireland,1881600,2020-06-14,4848,0,541,UK,UK-NORTHERN-IRELAND
Northern Ireland,1881600,2020-06-15,4852,0,541,UK,UK-NORTHERN-IRELAND
Northern Ireland,1881600,2020-06-16,4854,0,541,UK,UK-NORTHERN-IRELAND
Northern Ireland,1881600,2020-06-17,4862,0,542,UK,UK-NORTHERN-IRELAND
Northern Ireland,1881600,2020-06-18,4863,0,543,UK,UK-NORTHERN-IRELAND
Northern Ireland,1881600,2020-06-19,4866,0,543,UK,UK-NORTHERN-IRELAND
Scotland,5463300,2020-06-11,15682,0,2434,UK,UK-SCOTLAND
Scotland,5463300,2020-06-12,15709,0,2439,UK,UK-SCOTLAND
Scotland,5463300,2020-06-13,15730,0,2442,UK,UK-SCOTLAND
Scotland,5463300,2020-06-14,15755,0,2447,UK,UK-SCOTLAND
Scotland,5463300,2020-06-15,15687,0,2448,UK,UK-SCOTLAND
Scotland,5463300,2020-06-16,15697,0,2448,UK,UK-SCOTLAND
Scotland,5463300,2020-06-17,15712,0,2453,UK,UK-SCOTLAND
Scotland,5463300,2020-06-18,15718,0,2462,UK,UK-SCOTLAND
Scotland,5463300,2020-06-19,15742,0,2464,UK,UK-SCOTLAND
Wales,3138600,2020-06-11,14581,0,1425,UK,UK-WALES
Wales,3138600,2020-06-12,14658,0,1435,UK,UK-WALES
Wales,3138600,2020-06-13,14703,0,1441,UK,UK-WALES
Wales,3138600,2020-06-14,14742,0,1444,UK,UK-WALES
Wales,3138600,2020-06-15,14804,0,1448,UK,UK-WALES
Wales,3138600,2020-06-16,14869,0,1456,UK,UK-WALES
Wales,3138600,2020-06-17,14922,0,1466,UK,UK-WALES
Wales,3138600,2020-06-18,14970,0,1471,UK,UK-WALES
Wales,3138600,2020-06-19,15001,0,1475,UK,UK-WALES
