state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Drenthe,493682,2020-07-18,539,0,41,NL,NL-DRENTHE
Drenthe,493682,2020-07-19,539,0,41,NL,NL-DRENTHE
Drenthe,493682,2020-07-20,539,0,41,NL,NL-DRENTHE
Drenthe,493682,2020-07-21,539,0,41,NL,NL-DRENTHE
Flevoland,423021,2020-07-18,981,0,92,NL,NL-FLEVOLAND
Flevoland,423021,2020-07-19,981,0,92,NL,NL-FLEVOLAND
Flevoland,423021,2020-07-20,981,0,92,NL,NL-FLEVOLAND
Flevoland,423021,2020-07-21,981,0,92,NL,NL-FLEVOLAND
Friesland,649957,2020-07-18,643,0,69,NL,NL-FRIESLAND
Friesland,649957,2020-07-19,643,0,69,NL,NL-FRIESLAND
Friesland,649957,2020-07-20,643,0,69,NL,NL-FRIESLAND
Friesland,649957,2020-07-21,643,0,69,NL,NL-FRIESLAND
Gelderland,2085952,2020-07-18,6524,0,684,NL,NL-GELDERLAND
Gelderland,2085952,2020-07-19,6527,0,684,NL,NL-GELDERLAND
Gelderland,2085952,2020-07-20,6527,0,684,NL,NL-GELDERLAND
Gelderland,2085952,2020-07-21,6527,0,684,NL,NL-GELDERLAND
Groningen,585866,2020-07-18,367,0,17,NL,NL-GRONINGEN
Groningen,585866,2020-07-19,368,0,17,NL,NL-GRONINGEN
Groningen,585866,2020-07-20,368,0,17,NL,NL-GRONINGEN
Groningen,585866,2020-07-21,368,0,17,NL,NL-GRONINGEN
Limburg,1117201,2020-07-18,4890,0,752,NL,NL-LIMBURG
Limburg,1117201,2020-07-19,4891,0,752,NL,NL-LIMBURG
Limburg,1117201,2020-07-20,4891,0,752,NL,NL-LIMBURG
Limburg,1117201,2020-07-21,4891,0,752,NL,NL-LIMBURG
Noord-Brabant,2562955,2020-07-18,9763,0,1535,NL,NL-NOORD-BRABANT
Noord-Brabant,2562955,2020-07-19,9782,0,1535,NL,NL-NOORD-BRABANT
Noord-Brabant,2562955,2020-07-20,9782,0,1535,NL,NL-NOORD-BRABANT
Noord-Brabant,2562955,2020-07-21,9782,0,1535,NL,NL-NOORD-BRABANT
Noord-Holland,2879527,2020-07-18,7479,0,814,NL,NL-NOORD-HOLLAND
Noord-Holland,2879527,2020-07-19,7523,0,814,NL,NL-NOORD-HOLLAND
Noord-Holland,2879527,2020-07-20,7523,0,814,NL,NL-NOORD-HOLLAND
Noord-Holland,2879527,2020-07-21,7523,0,814,NL,NL-NOORD-HOLLAND
Overijssel,1162406,2020-07-18,3139,0,311,NL,NL-OVERIJSSEL
Overijssel,1162406,2020-07-19,3143,0,311,NL,NL-OVERIJSSEL
Overijssel,1162406,2020-07-20,3143,0,311,NL,NL-OVERIJSSEL
Overijssel,1162406,2020-07-21,3143,0,311,NL,NL-OVERIJSSEL
Utrecht,1354834,2020-07-18,4147,0,429,NL,NL-UTRECHT
Utrecht,1354834,2020-07-19,4162,0,429,NL,NL-UTRECHT
Utrecht,1354834,2020-07-20,4162,0,429,NL,NL-UTRECHT
Utrecht,1354834,2020-07-21,4162,0,429,NL,NL-UTRECHT
Zeeland,383488,2020-07-18,785,0,69,NL,NL-ZEELAND
Zeeland,383488,2020-07-19,791,0,69,NL,NL-ZEELAND
Zeeland,383488,2020-07-20,791,0,69,NL,NL-ZEELAND
Zeeland,383488,2020-07-21,791,0,69,NL,NL-ZEELAND
Zuid-Holland,3708696,2020-07-18,11834,0,1305,NL,NL-ZUID-HOLLAND
Zuid-Holland,3708696,2020-07-19,11886,0,1305,NL,NL-ZUID-HOLLAND
Zuid-Holland,3708696,2020-07-20,11886,0,1305,NL,NL-ZUID-HOLLAND
Zuid-Holland,3708696,2020-07-21,11886,0,1305,NL,NL-ZUID-HOLLAND
