AnzahlFall,AnzahlTodesfall,Meldedatum,IdLandkreis,IdBundesland,Landkreis,stateCode,reportDate,cases,deaths,population_number,population_density
2,0,1583366400000,08111,8,SK Stuttgart,DE-BW,2020-03-05,3,0,634830,3062
2,0,1583452800000,08111,8,SK Stuttgart,DE-BW,2020-03-06,5,0,634830,3062
1,0,1583539200000,08111,8,SK Stuttgart,DE-BW,2020-03-07,6,0,634830,3062
1,0,1583712000000,08111,8,SK Stuttgart,DE-BW,2020-03-09,7,0,634830,3062
5,0,1583798400000,08111,8,SK Stuttgart,DE-BW,2020-03-10,12,0,634830,3062
2,0,1583884800000,08111,8,SK Stuttgart,DE-BW,2020-03-11,14,0,634830,3062
3,0,1583971200000,08111,8,SK Stuttgart,DE-BW,2020-03-12,17,0,634830,3062
1,0,1584057600000,08111,8,SK Stuttgart,DE-BW,2020-03-13,18,0,634830,3062
1,0,1584144000000,08111,8,SK Stuttgart,DE-BW,2020-03-14,19,0,634830,3062
5,0,1584230400000,08111,8,SK Stuttgart,DE-BW,2020-03-15,24,0,634830,3062
1,0,1584316800000,08111,8,SK Stuttgart,DE-BW,2020-03-16,25,0,634830,3062
5,0,1584403200000,08111,8,SK Stuttgart,DE-BW,2020-03-17,30,0,634830,3062
15,0,1584489600000,08111,8,SK Stuttgart,DE-BW,2020-03-18,45,0,634830,3062
9,0,1584576000000,08111,8,SK Stuttgart,DE-BW,2020-03-19,54,0,634830,3062
1,0,1584662400000,08111,8,SK Stuttgart,DE-BW,2020-03-20,55,0,634830,3062
1,0,1584748800000,08111,8,SK Stuttgart,DE-BW,2020-03-21,56,0,634830,3062
4,0,1584835200000,08111,8,SK Stuttgart,DE-BW,2020-03-22,60,0,634830,3062
1,0,1584921600000,08111,8,SK Stuttgart,DE-BW,2020-03-23,61,0,634830,3062
2,0,1585008000000,08111,8,SK Stuttgart,DE-BW,2020-03-24,63,0,634830,3062
1,0,1585094400000,08111,8,SK Stuttgart,DE-BW,2020-03-25,64,0,634830,3062
1,0,1583366400000,08115,8,LK Böblingen,DE-BW,2020-03-05,2,0,391640,634
1,0,1583712000000,08115,8,LK Böblingen,DE-BW,2020-03-09,3,0,391640,634
1,0,1583884800000,08115,8,LK Böblingen,DE-BW,2020-03-11,4,0,391640,634
1,0,1583971200000,08115,8,LK Böblingen,DE-BW,2020-03-12,5,0,391640,634
1,0,1584057600000,08115,8,LK Böblingen,DE-BW,2020-03-13,6,0,391640,634
1,0,1584144000000,08115,8,LK Böblingen,DE-BW,2020-03-14,7,0,391640,634
2,0,1584230400000,08115,8,LK Böblingen,DE-BW,2020-03-15,9,0,391640,634
2,0,1584316800000,08115,8,LK Böblingen,DE-BW,2020-03-16,11,0,391640,634
1,0,1584403200000,08115,8,LK Böblingen,DE-BW,2020-03-17,12,0,391640,634
1,0,1584489600000,08115,8,LK Böblingen,DE-BW,2020-03-18,13,0,391640,634
1,0,1584576000000,08115,8,LK Böblingen,DE-BW,2020-03-19,14,0,391640,634
6,0,1584662400000,08115,8,LK Böblingen,DE-BW,2020-03-20,20,0,391640,634
1,0,1584748800000,08115,8,LK Böblingen,DE-BW,2020-03-21,21,0,391640,634
1,0,1584835200000,08115,8,LK Böblingen,DE-BW,2020-03-22,22,0,391640,634
1,0,1584921600000,08115,8,LK Böblingen,DE-BW,2020-03-23,23,0,391640,634
1,0,1585008000000,08115,8,LK Böblingen,DE-BW,2020-03-24,24,0,391640,634
