reportDate;country_name_german;cases;deaths;countryCode;population_number;population_density
22-01-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
23-01-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
24-01-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
25-01-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
26-01-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
27-01-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
28-01-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
29-01-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
30-01-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
31-01-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
01-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
02-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
03-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
04-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
05-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
06-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
07-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
08-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
09-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
10-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
11-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
12-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
13-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
14-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
15-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
16-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
17-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
18-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
19-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
20-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
21-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
22-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
23-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
24-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
25-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
26-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
27-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
28-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
29-02-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
01-03-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
02-03-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
03-03-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
04-03-2020;Bosnien und Herzegowina;0;0;BA;3507017;68
05-03-2020;Bosnien und Herzegowina;2;0;BA;3507017;68
06-03-2020;Bosnien und Herzegowina;2;0;BA;3507017;68
07-03-2020;Bosnien und Herzegowina;3;0;BA;3507017;68
08-03-2020;Bosnien und Herzegowina;3;0;BA;3507017;68
09-03-2020;Bosnien und Herzegowina;3;0;BA;3507017;68
10-03-2020;Bosnien und Herzegowina;5;0;BA;3507017;68
11-03-2020;Bosnien und Herzegowina;7;0;BA;3507017;68
12-03-2020;Bosnien und Herzegowina;11;0;BA;3507017;68
13-03-2020;Bosnien und Herzegowina;13;0;BA;3507017;68
14-03-2020;Bosnien und Herzegowina;18;0;BA;3507017;68
15-03-2020;Bosnien und Herzegowina;24;0;BA;3507017;68
16-03-2020;Bosnien und Herzegowina;25;0;BA;3507017;68
17-03-2020;Bosnien und Herzegowina;26;0;BA;3507017;68
18-03-2020;Bosnien und Herzegowina;38;0;BA;3507017;68
19-03-2020;Bosnien und Herzegowina;63;0;BA;3507017;68
20-03-2020;Bosnien und Herzegowina;89;0;BA;3507017;68
21-03-2020;Bosnien und Herzegowina;93;1;BA;3507017;68
22-03-2020;Bosnien und Herzegowina;126;1;BA;3507017;68
23-03-2020;Bosnien und Herzegowina;136;1;BA;3507017;68
24-03-2020;Bosnien und Herzegowina;166;3;BA;3507017;68
25-03-2020;Bosnien und Herzegowina;176;3;BA;3507017;68
26-03-2020;Bosnien und Herzegowina;191;3;BA;3507017;68
22-01-2020;Nordmazedonien;0;0;MK;2075301;80
23-01-2020;Nordmazedonien;0;0;MK;2075301;80
24-01-2020;Nordmazedonien;0;0;MK;2075301;80
25-01-2020;Nordmazedonien;0;0;MK;2075301;80
26-01-2020;Nordmazedonien;0;0;MK;2075301;80
27-01-2020;Nordmazedonien;0;0;MK;2075301;80
28-01-2020;Nordmazedonien;0;0;MK;2075301;80
29-01-2020;Nordmazedonien;0;0;MK;2075301;80
30-01-2020;Nordmazedonien;0;0;MK;2075301;80
31-01-2020;Nordmazedonien;0;0;MK;2075301;80
01-02-2020;Nordmazedonien;0;0;MK;2075301;80
02-02-2020;Nordmazedonien;0;0;MK;2075301;80
03-02-2020;Nordmazedonien;0;0;MK;2075301;80
04-02-2020;Nordmazedonien;0;0;MK;2075301;80
05-02-2020;Nordmazedonien;0;0;MK;2075301;80
06-02-2020;Nordmazedonien;0;0;MK;2075301;80
07-02-2020;Nordmazedonien;0;0;MK;2075301;80
08-02-2020;Nordmazedonien;0;0;MK;2075301;80
09-02-2020;Nordmazedonien;0;0;MK;2075301;80
10-02-2020;Nordmazedonien;0;0;MK;2075301;80
11-02-2020;Nordmazedonien;0;0;MK;2075301;80
12-02-2020;Nordmazedonien;0;0;MK;2075301;80
13-02-2020;Nordmazedonien;0;0;MK;2075301;80
14-02-2020;Nordmazedonien;0;0;MK;2075301;80
15-02-2020;Nordmazedonien;0;0;MK;2075301;80
16-02-2020;Nordmazedonien;0;0;MK;2075301;80
17-02-2020;Nordmazedonien;0;0;MK;2075301;80
18-02-2020;Nordmazedonien;0;0;MK;2075301;80
19-02-2020;Nordmazedonien;0;0;MK;2075301;80
20-02-2020;Nordmazedonien;0;0;MK;2075301;80
21-02-2020;Nordmazedonien;0;0;MK;2075301;80
22-02-2020;Nordmazedonien;0;0;MK;2075301;80
23-02-2020;Nordmazedonien;0;0;MK;2075301;80
24-02-2020;Nordmazedonien;0;0;MK;2075301;80
25-02-2020;Nordmazedonien;0;0;MK;2075301;80
26-02-2020;Nordmazedonien;1;0;MK;2075301;80
27-02-2020;Nordmazedonien;1;0;MK;2075301;80
28-02-2020;Nordmazedonien;1;0;MK;2075301;80
29-02-2020;Nordmazedonien;1;0;MK;2075301;80
01-03-2020;Nordmazedonien;1;0;MK;2075301;80
02-03-2020;Nordmazedonien;1;0;MK;2075301;80
03-03-2020;Nordmazedonien;1;0;MK;2075301;80
04-03-2020;Nordmazedonien;1;0;MK;2075301;80
05-03-2020;Nordmazedonien;1;0;MK;2075301;80
06-03-2020;Nordmazedonien;3;0;MK;2075301;80
07-03-2020;Nordmazedonien;3;0;MK;2075301;80
08-03-2020;Nordmazedonien;3;0;MK;2075301;80
09-03-2020;Nordmazedonien;3;0;MK;2075301;80
10-03-2020;Nordmazedonien;7;0;MK;2075301;80
11-03-2020;Nordmazedonien;7;0;MK;2075301;80
12-03-2020;Nordmazedonien;7;0;MK;2075301;80
13-03-2020;Nordmazedonien;14;0;MK;2075301;80
14-03-2020;Nordmazedonien;14;0;MK;2075301;80
15-03-2020;Nordmazedonien;14;0;MK;2075301;80
16-03-2020;Nordmazedonien;18;0;MK;2075301;80
17-03-2020;Nordmazedonien;26;0;MK;2075301;80
18-03-2020;Nordmazedonien;35;0;MK;2075301;80
19-03-2020;Nordmazedonien;48;0;MK;2075301;80
20-03-2020;Nordmazedonien;67;0;MK;2075301;80
21-03-2020;Nordmazedonien;85;0;MK;2075301;80
22-03-2020;Nordmazedonien;115;1;MK;2075301;80
23-03-2020;Nordmazedonien;136;2;MK;2075301;80
24-03-2020;Nordmazedonien;148;2;MK;2075301;80
25-03-2020;Nordmazedonien;177;3;MK;2075301;80
26-03-2020;Nordmazedonien;201;3;MK;2075301;80
22-01-2020;Moldova;0;0;;;
23-01-2020;Moldova;0;0;;;
24-01-2020;Moldova;0;0;;;
25-01-2020;Moldova;0;0;;;
26-01-2020;Moldova;0;0;;;
27-01-2020;Moldova;0;0;;;
28-01-2020;Moldova;0;0;;;
29-01-2020;Moldova;0;0;;;
30-01-2020;Moldova;0;0;;;
31-01-2020;Moldova;0;0;;;
01-02-2020;Moldova;0;0;;;
02-02-2020;Moldova;0;0;;;
03-02-2020;Moldova;0;0;;;
04-02-2020;Moldova;0;0;;;
05-02-2020;Moldova;0;0;;;
06-02-2020;Moldova;0;0;;;
07-02-2020;Moldova;0;0;;;
08-02-2020;Moldova;0;0;;;
09-02-2020;Moldova;0;0;;;
10-02-2020;Moldova;0;0;;;
11-02-2020;Moldova;0;0;;;
12-02-2020;Moldova;0;0;;;
13-02-2020;Moldova;0;0;;;
14-02-2020;Moldova;0;0;;;
15-02-2020;Moldova;0;0;;;
16-02-2020;Moldova;0;0;;;
17-02-2020;Moldova;0;0;;;
18-02-2020;Moldova;0;0;;;
19-02-2020;Moldova;0;0;;;
20-02-2020;Moldova;0;0;;;
21-02-2020;Moldova;0;0;;;
22-02-2020;Moldova;0;0;;;
23-02-2020;Moldova;0;0;;;
24-02-2020;Moldova;0;0;;;
25-02-2020;Moldova;0;0;;;
26-02-2020;Moldova;0;0;;;
27-02-2020;Moldova;0;0;;;
28-02-2020;Moldova;0;0;;;
29-02-2020;Moldova;0;0;;;
01-03-2020;Moldova;0;0;;;
02-03-2020;Moldova;0;0;;;
03-03-2020;Moldova;0;0;;;
04-03-2020;Moldova;0;0;;;
05-03-2020;Moldova;0;0;;;
06-03-2020;Moldova;0;0;;;
07-03-2020;Moldova;0;0;;;
08-03-2020;Moldova;1;0;;;
09-03-2020;Moldova;1;0;;;
10-03-2020;Moldova;3;0;;;
11-03-2020;Moldova;3;0;;;
12-03-2020;Moldova;3;0;;;
13-03-2020;Moldova;6;0;;;
14-03-2020;Moldova;12;0;;;
15-03-2020;Moldova;23;0;;;
16-03-2020;Moldova;23;0;;;
17-03-2020;Moldova;30;0;;;
18-03-2020;Moldova;30;1;;;
19-03-2020;Moldova;49;1;;;
20-03-2020;Moldova;66;1;;;
21-03-2020;Moldova;80;1;;;
22-03-2020;Moldova;94;1;;;
23-03-2020;Moldova;109;1;;;
24-03-2020;Moldova;125;1;;;
25-03-2020;Moldova;149;1;;;
26-03-2020;Moldova;177;1;;;
22-01-2020;Italien;0;0;IT;60599936;201
23-01-2020;Italien;0;0;IT;60599936;201
24-01-2020;Italien;0;0;IT;60599936;201
25-01-2020;Italien;0;0;IT;60599936;201
26-01-2020;Italien;0;0;IT;60599936;201
27-01-2020;Italien;0;0;IT;60599936;201
28-01-2020;Italien;0;0;IT;60599936;201
29-01-2020;Italien;0;0;IT;60599936;201
30-01-2020;Italien;0;0;IT;60599936;201
31-01-2020;Italien;2;0;IT;60599936;201
01-02-2020;Italien;2;0;IT;60599936;201
02-02-2020;Italien;2;0;IT;60599936;201
03-02-2020;Italien;2;0;IT;60599936;201
04-02-2020;Italien;2;0;IT;60599936;201
05-02-2020;Italien;2;0;IT;60599936;201
06-02-2020;Italien;2;0;IT;60599936;201
07-02-2020;Italien;3;0;IT;60599936;201
08-02-2020;Italien;3;0;IT;60599936;201
09-02-2020;Italien;3;0;IT;60599936;201
10-02-2020;Italien;3;0;IT;60599936;201
11-02-2020;Italien;3;0;IT;60599936;201
12-02-2020;Italien;3;0;IT;60599936;201
13-02-2020;Italien;3;0;IT;60599936;201
14-02-2020;Italien;3;0;IT;60599936;201
15-02-2020;Italien;3;0;IT;60599936;201
16-02-2020;Italien;3;0;IT;60599936;201
17-02-2020;Italien;3;0;IT;60599936;201
18-02-2020;Italien;3;0;IT;60599936;201
19-02-2020;Italien;3;0;IT;60599936;201
20-02-2020;Italien;3;0;IT;60599936;201
21-02-2020;Italien;20;1;IT;60599936;201
22-02-2020;Italien;62;2;IT;60599936;201
23-02-2020;Italien;155;3;IT;60599936;201
24-02-2020;Italien;229;7;IT;60599936;201
25-02-2020;Italien;322;10;IT;60599936;201
26-02-2020;Italien;453;12;IT;60599936;201
27-02-2020;Italien;655;17;IT;60599936;201
28-02-2020;Italien;888;21;IT;60599936;201
29-02-2020;Italien;1128;29;IT;60599936;201
01-03-2020;Italien;1694;34;IT;60599936;201
02-03-2020;Italien;2036;52;IT;60599936;201
03-03-2020;Italien;2502;79;IT;60599936;201
04-03-2020;Italien;3089;107;IT;60599936;201
05-03-2020;Italien;3858;148;IT;60599936;201
06-03-2020;Italien;4636;197;IT;60599936;201
07-03-2020;Italien;5883;233;IT;60599936;201
08-03-2020;Italien;7375;366;IT;60599936;201
09-03-2020;Italien;9172;463;IT;60599936;201
10-03-2020;Italien;10149;631;IT;60599936;201
11-03-2020;Italien;12462;827;IT;60599936;201
12-03-2020;Italien;15113;827;IT;60599936;201
13-03-2020;Italien;17660;1266;IT;60599936;201
