state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Acre,829619,2020-05-21,2817,0,76,BR,BR-ACRE
Acre,829619,2020-05-22,3103,0,78,BR,BR-ACRE
Acre,829619,2020-05-23,3343,0,80,BR,BR-ACRE
Acre,829619,2020-05-24,3867,0,87,BR,BR-ACRE
Acre,829619,2020-05-25,4160,0,92,BR,BR-ACRE
Acre,829619,2020-05-26,4501,0,97,BR,BR-ACRE
Acre,829619,2020-05-27,4781,0,105,BR,BR-ACRE
Alagoas,3375823,2020-05-21,4437,0,251,BR,BR-ALAGOAS
Alagoas,3375823,2020-05-22,4916,0,262,BR,BR-ALAGOAS
Alagoas,3375823,2020-05-23,5302,0,280,BR,BR-ALAGOAS
Alagoas,3375823,2020-05-24,5630,0,301,BR,BR-ALAGOAS
Alagoas,3375823,2020-05-25,6214,0,316,BR,BR-ALAGOAS
Alagoas,3375823,2020-05-26,6682,0,337,BR,BR-ALAGOAS
Alagoas,3375823,2020-05-27,7058,0,354,BR,BR-ALAGOAS
Amapá,797722,2020-05-21,4549,0,142,BR,BR-AMAPA
Amapá,797722,2020-05-22,5188,0,151,BR,BR-AMAPA
Amapá,797722,2020-05-23,5655,0,157,BR,BR-AMAPA
Amapá,797722,2020-05-24,6091,0,162,BR,BR-AMAPA
Amapá,797722,2020-05-25,6353,0,163,BR,BR-AMAPA
Amapá,797722,2020-05-26,6584,0,168,BR,BR-AMAPA
Amapá,797722,2020-05-27,6967,0,173,BR,BR-AMAPA
Amazonas,4063614,2020-05-21,23704,0,1561,BR,BR-AMAZONAS
Amazonas,4063614,2020-05-22,25367,0,1620,BR,BR-AMAZONAS
Amazonas,4063614,2020-05-23,27038,0,1669,BR,BR-AMAZONAS
Amazonas,4063614,2020-05-24,28802,0,1744,BR,BR-AMAZONAS
Amazonas,4063614,2020-05-25,29867,0,1758,BR,BR-AMAZONAS
Amazonas,4063614,2020-05-26,30282,0,1781,BR,BR-AMAZONAS
Amazonas,4063614,2020-05-27,31949,0,1852,BR,BR-AMAZONAS
Bahia,15344447,2020-05-21,11197,0,362,BR,BR-BAHIA
Bahia,15344447,2020-05-22,11941,0,376,BR,BR-BAHIA
Bahia,15344447,2020-05-23,12557,0,399,BR,BR-BAHIA
Bahia,15344447,2020-05-24,13000,0,413,BR,BR-BAHIA
Bahia,15344447,2020-05-25,13899,0,460,BR,BR-BAHIA
Bahia,15344447,2020-05-26,14204,0,477,BR,BR-BAHIA
Bahia,15344447,2020-05-27,14566,0,495,BR,BR-BAHIA
Ceará,9020460,2020-05-21,30560,0,1900,BR,BR-CEARA
Ceará,9020460,2020-05-22,31413,0,2161,BR,BR-CEARA
Ceará,9020460,2020-05-23,34573,0,2251,BR,BR-CEARA
Ceará,9020460,2020-05-24,35122,0,2308,BR,BR-CEARA
Ceará,9020460,2020-05-25,35595,0,2324,BR,BR-CEARA
Ceará,9020460,2020-05-26,36185,0,2493,BR,BR-CEARA
Ceará,9020460,2020-05-27,37021,0,2603,BR,BR-CEARA
Distrito Federal,3039444,2020-05-21,5161,0,77,BR,BR-DISTRITO-FEDERAL
Distrito Federal,3039444,2020-05-22,5542,0,84,BR,BR-DISTRITO-FEDERAL
Distrito Federal,3039444,2020-05-23,5948,0,90,BR,BR-DISTRITO-FEDERAL
