stateCode,reportDate,cases,deaths,population_number,population_density
DE-DE,2020-03-10,1296,0,82176000,230
DE-DE,2020-03-11,1567,0,82176000,230
DE-DE,2020-03-12,2369,0,82176000,230
DE-DE,2020-03-13,3062,0,82176000,230
DE-DE,2020-03-14,3795,0,82176000,230
DE-DE,2020-03-15,4838,0,82176000,230
DE-DE,2020-03-16,6012,0,82176000,230
DE-DE,2020-03-17,9348,24,82176000,230
DE-DE,2020-03-18,12223,36,82176000,230
DE-DE,2020-03-19,15240,43,82176000,230
DE-DE,2020-03-20,19712,64,82176000,230
DE-DE,2020-03-21,22101,81,82176000,230
DE-DE,2020-03-22,24273,92,82176000,230
DE-DE,2020-03-23,28942,122,82176000,230
DE-DE,2020-03-24,33856,144,82176000,230
DE-DE,2020-03-25,37949,181,82176000,230
DE-DE,2020-03-26,43938,261,82176000,230
DE-DE,2020-03-27,50871,351,82176000,230
