state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Amazonas,76589,2020-06-08,1992,1002,73,CO,CO-AMAZONAS
Amazonas,76589,2020-06-09,2029,1067,73,CO,CO-AMAZONAS
Amazonas,76589,2020-06-10,2033,1070,74,CO,CO-AMAZONAS
Amazonas,76589,2020-06-11,2066,1156,74,CO,CO-AMAZONAS
Amazonas,76589,2020-06-12,2075,1167,76,CO,CO-AMAZONAS
Amazonas,76589,2020-06-13,2091,1209,76,CO,CO-AMAZONAS
Amazonas,76589,2020-06-14,2111,1232,78,CO,CO-AMAZONAS
Amazonas,76589,2020-06-15,2126,1306,78,CO,CO-AMAZONAS
Amazonas,76589,2020-06-16,2131,1309,79,CO,CO-AMAZONAS
Amazonas,76589,2020-06-17,2171,1354,79,CO,CO-AMAZONAS
Amazonas,76589,2020-06-18,2171,1354,79,CO,CO-AMAZONAS
Amazonas,76589,2020-06-19,2184,1499,79,CO,CO-AMAZONAS
Amazonas,76589,2020-06-20,2192,1552,85,CO,CO-AMAZONAS
Amazonas,76589,2020-06-21,2192,1572,85,CO,CO-AMAZONAS
Amazonas,76589,2020-06-22,2204,1639,85,CO,CO-AMAZONAS
Amazonas,76589,2020-06-23,2204,1747,85,CO,CO-AMAZONAS
Amazonas,76589,2020-06-24,2211,1771,85,CO,CO-AMAZONAS
Amazonas,76589,2020-06-25,2220,1811,86,CO,CO-AMAZONAS
Amazonas,76589,2020-06-26,2228,1838,87,CO,CO-AMAZONAS
Amazonas,76589,2020-06-27,2241,1862,89,CO,CO-AMAZONAS
Amazonas,76589,2020-06-28,2252,1881,89,CO,CO-AMAZONAS
Antioquia,6407102,2020-06-08,1518,575,9,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-09,1574,589,10,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-10,1648,591,10,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-11,1704,610,10,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-12,1731,659,10,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-13,1782,703,10,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-14,1884,765,10,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-15,2022,769,11,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-16,2147,782,11,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-17,2273,809,13,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-18,2273,809,13,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-19,2498,909,13,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-20,2660,954,14,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-21,2758,982,15,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-22,2921,1048,16,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-23,3009,1128,16,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-24,3098,1187,18,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-25,3239,1261,19,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-26,3457,1335,22,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-27,3647,1405,24,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-28,3873,1477,27,CO,CO-ANTIOQUIA
Arauca,262174,2020-06-08,2,1,0,CO,CO-ARAUCA
Arauca,262174,2020-06-09,2,1,0,CO,CO-ARAUCA
Arauca,262174,2020-06-10,2,1,0,CO,CO-ARAUCA
Arauca,262174,2020-06-11,2,1,0,CO,CO-ARAUCA
Arauca,262174,2020-06-12,2,1,0,CO,CO-ARAUCA
Arauca,262174,2020-06-13,2,1,0,CO,CO-ARAUCA
Arauca,262174,2020-06-14,2,1,0,CO,CO-ARAUCA
Arauca,262174,2020-06-15,2,1,0,CO,CO-ARAUCA
Arauca,262174,2020-06-16,45,2,0,CO,CO-ARAUCA
Arauca,262174,2020-06-17,46,2,0,CO,CO-ARAUCA
Arauca,262174,2020-06-18,46,2,0,CO,CO-ARAUCA
Arauca,262174,2020-06-19,51,2,0,CO,CO-ARAUCA
Arauca,262174,2020-06-20,52,2,0,CO,CO-ARAUCA
Arauca,262174,2020-06-21,54,2,0,CO,CO-ARAUCA
Arauca,262174,2020-06-22,61,2,0,CO,CO-ARAUCA
Arauca,262174,2020-06-23,70,2,0,CO,CO-ARAUCA
Arauca,262174,2020-06-24,72,2,0,CO,CO-ARAUCA
Arauca,262174,2020-06-25,76,2,0,CO,CO-ARAUCA
Arauca,262174,2020-06-26,76,2,0,CO,CO-ARAUCA
Arauca,262174,2020-06-27,76,3,0,CO,CO-ARAUCA
Arauca,262174,2020-06-28,76,3,0,CO,CO-ARAUCA
Atlantico,2535517,2020-06-08,6498,1897,218,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-09,6761,2173,246,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-10,7096,2190,277,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-11,7502,2289,302,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-12,7931,2390,330,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-13,8597,2596,356,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-14,9077,2707,377,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-15,9837,2785,412,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-16,10882,2792,434,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-17,11424,2839,467,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-18,11424,2839,467,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-19,13151,3234,543,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-20,13880,3391,590,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-21,14761,3625,628,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-22,15479,4044,675,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-23,16229,4337,714,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-24,16871,4721,760,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-25,17972,4969,798,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-26,18593,5342,888,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-27,20246,5896,962,CO,CO-ATLANTICO
Atlantico,2535517,2020-06-28,21189,6257,1022,CO,CO-ATLANTICO
Bolivar,2070110,2020-06-08,4128,1221,182,CO,CO-BOLIVAR
Bolivar,2070110,2020-06-09,4221,1344,188,CO,CO-BOLIVAR
