stateCode,reportDate,cases,deaths,population_number,population_density
DE-BW,2020-03-10,237,0,10880000,304
DE-BY,2020-03-10,314,0,12844000,182
DE-BE,2020-03-10,48,0,3520000,3948
DE-BB,2020-03-10,9,0,2485000,84
DE-HB,2020-03-10,4,0,671000,1599
DE-HH,2020-03-10,29,0,1787000,2366
DE-HE,2020-03-10,35,0,6176000,293
DE-MV,2020-03-10,13,0,1612000,69
DE-NI,2020-03-10,49,0,7927000,167
DE-NW,2020-03-10,484,0,17866000,524
DE-RP,2020-03-10,25,0,4053000,204
DE-SL,2020-03-10,7,0,996000,388
DE-SN,2020-03-10,22,0,4085000,221
DE-ST,2020-03-10,7,0,2245000,110
DE-SH,2020-03-10,9,0,2859000,181
DE-TH,2020-03-10,4,0,2171000,134
DE-BW,2020-03-11,277,0,10880000,304
DE-BY,2020-03-11,366,0,12844000,182
DE-BE,2020-03-11,90,0,3520000,3948
DE-BB,2020-03-11,24,0,2485000,84
DE-HB,2020-03-11,21,0,671000,1599
DE-HH,2020-03-11,48,0,1787000,2366
DE-HE,2020-03-11,48,0,6176000,293
DE-MV,2020-03-11,17,0,1612000,69
DE-NI,2020-03-11,75,0,7927000,167
DE-NW,2020-03-11,484,0,17866000,524
DE-RP,2020-03-11,25,0,4053000,204
DE-SL,2020-03-11,14,0,996000,388
DE-SN,2020-03-11,26,0,4085000,221
DE-ST,2020-03-11,15,0,2245000,110
DE-SH,2020-03-11,27,0,2859000,181
DE-TH,2020-03-11,10,0,2171000,134
DE-BW,2020-03-12,454,0,10880000,304
DE-BY,2020-03-12,500,0,12844000,182
DE-BE,2020-03-12,137,0,3520000,3948
DE-BB,2020-03-12,30,0,2485000,84
DE-HB,2020-03-12,38,0,671000,1599
DE-HH,2020-03-12,88,0,1787000,2366
DE-HE,2020-03-12,99,0,6176000,293
DE-MV,2020-03-12,23,0,1612000,69
DE-NI,2020-03-12,129,0,7927000,167
DE-NW,2020-03-12,688,0,17866000,524
DE-RP,2020-03-12,52,0,4053000,204
DE-SL,2020-03-12,14,0,996000,388
DE-SN,2020-03-12,45,0,4085000,221
DE-ST,2020-03-12,27,0,2245000,110
DE-SH,2020-03-12,31,0,2859000,181
DE-TH,2020-03-12,14,0,2171000,134
DE-BW,2020-03-13,454,0,10880000,304
DE-BY,2020-03-13,558,0,12844000,182
DE-BE,2020-03-13,174,0,3520000,3948
DE-BB,2020-03-13,44,0,2485000,84
DE-HB,2020-03-13,42,0,671000,1599
DE-HH,2020-03-13,99,0,1787000,2366
DE-HE,2020-03-13,148,0,6176000,293
DE-MV,2020-03-13,33,0,1612000,69
DE-NI,2020-03-13,230,0,7927000,167
DE-NW,2020-03-13,936,0,17866000,524
DE-RP,2020-03-13,102,0,4053000,204
DE-SL,2020-03-13,40,0,996000,388
DE-SN,2020-03-13,83,0,4085000,221
DE-ST,2020-03-13,42,0,2245000,110
DE-SH,2020-03-13,48,0,2859000,181
DE-TH,2020-03-13,29,0,2171000,134
DE-BW,2020-03-14,569,0,10880000,304
DE-BY,2020-03-14,681,0,12844000,182
DE-BE,2020-03-14,216,0,3520000,3948
DE-BB,2020-03-14,61,0,2485000,84
DE-HB,2020-03-14,50,0,671000,1599
DE-HH,2020-03-14,158,0,1787000,2366
DE-HE,2020-03-14,203,0,6176000,293
DE-MV,2020-03-14,45,0,1612000,69
DE-NI,2020-03-14,253,0,7927000,167
DE-NW,2020-03-14,1154,0,17866000,524
DE-RP,2020-03-14,121,0,4053000,204
DE-SL,2020-03-14,40,0,996000,388
DE-SN,2020-03-14,93,0,4085000,221
DE-ST,2020-03-14,45,0,2245000,110
DE-SH,2020-03-14,60,0,2859000,181
DE-TH,2020-03-14,46,0,2171000,134
DE-BW,2020-03-15,827,0,10880000,304
DE-BY,2020-03-15,886,0,12844000,182
DE-BE,2020-03-15,265,0,3520000,3948
DE-BB,2020-03-15,84,0,2485000,84
DE-HB,2020-03-15,53,0,671000,1599
DE-HH,2020-03-15,162,0,1787000,2366
DE-HE,2020-03-15,286,0,6176000,293
DE-MV,2020-03-15,50,0,1612000,69
DE-NI,2020-03-15,287,0,7927000,167
DE-NW,2020-03-15,1407,0,17866000,524
DE-RP,2020-03-15,168,0,4053000,204
DE-SL,2020-03-15,32,0,996000,388
DE-SN,2020-03-15,130,0,4085000,221
DE-ST,2020-03-15,47,0,2245000,110
DE-SH,2020-03-15,103,0,2859000,181
DE-TH,2020-03-15,51,0,2171000,134
DE-BW,2020-03-16,1105,0,10880000,304
DE-BY,2020-03-16,1067,0,12844000,182
DE-BE,2020-03-16,300,0,3520000,3948
DE-BB,2020-03-16,94,0,2485000,84
DE-HB,2020-03-16,56,0,671000,1599
DE-HH,2020-03-16,260,0,1787000,2366
DE-HE,2020-03-16,342,0,6176000,293
DE-MV,2020-03-16,51,0,1612000,69
DE-NI,2020-03-16,391,0,7927000,167
DE-NW,2020-03-16,1541,0,17866000,524
DE-RP,2020-03-16,325,0,4053000,204
DE-SL,2020-03-16,85,0,996000,388
DE-SN,2020-03-16,140,0,4085000,221
DE-ST,2020-03-16,77,0,2245000,110
DE-SH,2020-03-16,123,0,2859000,181
DE-TH,2020-03-16,55,0,2171000,134
DE-BW,2020-03-17,1641,6,10880000,304
DE-BY,2020-03-17,1352,5,12844000,182
DE-BE,2020-03-17,383,0,3520000,3948
DE-BB,2020-03-17,114,0,2485000,84
DE-HB,2020-03-17,66,0,671000,1599
DE-HH,2020-03-17,312,0,1787000,2366
DE-HE,2020-03-17,381,0,6176000,293
DE-MV,2020-03-17,69,0,1612000,69
DE-NI,2020-03-17,563,0,7927000,167
DE-NW,2020-03-17,3375,12,17866000,524
DE-RP,2020-03-17,435,0,4053000,204
DE-SL,2020-03-17,101,0,996000,388
DE-SN,2020-03-17,247,0,4085000,221
DE-ST,2020-03-17,93,0,2245000,110
DE-SH,2020-03-17,145,1,2859000,181
DE-TH,2020-03-17,71,0,2171000,134
DE-BW,2020-03-18,2184,8,10880000,304
DE-BY,2020-03-18,1798,7,12844000,182
DE-BE,2020-03-18,519,0,3520000,3948
DE-BB,2020-03-18,171,1,2485000,84
DE-HB,2020-03-18,66,3,671000,1599
DE-HH,2020-03-18,414,1,1787000,2366
DE-HE,2020-03-18,547,1,6176000,293
DE-MV,2020-03-18,100,0,1612000,69
DE-NI,2020-03-18,740,1,7927000,167
DE-NW,2020-03-18,4268,13,17866000,524
DE-RP,2020-03-18,603,0,4053000,204
DE-SL,2020-03-18,101,0,996000,388
DE-SN,2020-03-18,296,0,4085000,221
DE-ST,2020-03-18,133,0,2245000,110
