state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Abruzzo,1311580,2020-05-15,3148,1313,381,IT,IT-ABRUZZO
Abruzzo,1311580,2020-05-16,3178,1372,383,IT,IT-ABRUZZO
Abruzzo,1311580,2020-05-17,3186,1379,385,IT,IT-ABRUZZO
Abruzzo,1311580,2020-05-18,3193,1392,388,IT,IT-ABRUZZO
Abruzzo,1311580,2020-05-19,3197,1419,389,IT,IT-ABRUZZO
Abruzzo,1311580,2020-05-20,3205,1499,389,IT,IT-ABRUZZO
Abruzzo,1311580,2020-05-21,3212,1549,391,IT,IT-ABRUZZO
Abruzzo,1311580,2020-05-22,3220,1647,394,IT,IT-ABRUZZO
Abruzzo,1311580,2020-05-23,3221,1659,394,IT,IT-ABRUZZO
Abruzzo,1311580,2020-05-24,3226,1736,398,IT,IT-ABRUZZO
Abruzzo,1311580,2020-05-25,3227,1781,400,IT,IT-ABRUZZO
Abruzzo,1311580,2020-05-26,3230,1921,400,IT,IT-ABRUZZO
Abruzzo,1311580,2020-05-27,3235,1969,400,IT,IT-ABRUZZO
Abruzzo,1311580,2020-05-28,3237,2011,402,IT,IT-ABRUZZO
Abruzzo,1311580,2020-05-29,3237,2011,402,IT,IT-ABRUZZO
Basilicata,562869,2020-05-15,389,242,27,IT,IT-BASILICATA
Basilicata,562869,2020-05-16,390,250,27,IT,IT-BASILICATA
Basilicata,562869,2020-05-17,392,261,27,IT,IT-BASILICATA
Basilicata,562869,2020-05-18,392,272,27,IT,IT-BASILICATA
Basilicata,562869,2020-05-19,393,282,27,IT,IT-BASILICATA
Basilicata,562869,2020-05-20,393,293,27,IT,IT-BASILICATA
Basilicata,562869,2020-05-21,394,307,27,IT,IT-BASILICATA
Basilicata,562869,2020-05-22,394,318,27,IT,IT-BASILICATA
Basilicata,562869,2020-05-23,398,330,27,IT,IT-BASILICATA
Basilicata,562869,2020-05-24,399,333,27,IT,IT-BASILICATA
Basilicata,562869,2020-05-25,399,336,27,IT,IT-BASILICATA
Basilicata,562869,2020-05-26,399,336,27,IT,IT-BASILICATA
Basilicata,562869,2020-05-27,399,336,27,IT,IT-BASILICATA
Basilicata,562869,2020-05-28,399,338,27,IT,IT-BASILICATA
Basilicata,562869,2020-05-29,399,338,27,IT,IT-BASILICATA
P.A. Bolzano,530009,2020-05-15,2578,1929,290,IT,IT-BOLZANO
P.A. Bolzano,530009,2020-05-16,2578,1945,290,IT,IT-BOLZANO
P.A. Bolzano,530009,2020-05-17,2581,1977,290,IT,IT-BOLZANO
P.A. Bolzano,530009,2020-05-18,2582,1984,291,IT,IT-BOLZANO
P.A. Bolzano,530009,2020-05-19,2587,1988,291,IT,IT-BOLZANO
P.A. Bolzano,530009,2020-05-20,2587,2024,291,IT,IT-BOLZANO
P.A. Bolzano,530009,2020-05-21,2587,2046,291,IT,IT-BOLZANO
P.A. Bolzano,530009,2020-05-22,2590,2075,291,IT,IT-BOLZANO
P.A. Bolzano,530009,2020-05-23,2590,2085,291,IT,IT-BOLZANO
P.A. Bolzano,530009,2020-05-24,2593,2107,291,IT,IT-BOLZANO
P.A. Bolzano,530009,2020-05-25,2593,2118,291,IT,IT-BOLZANO
P.A. Bolzano,530009,2020-05-26,2593,2123,291,IT,IT-BOLZANO
P.A. Bolzano,530009,2020-05-27,2593,2131,291,IT,IT-BOLZANO
P.A. Bolzano,530009,2020-05-28,2595,2147,291,IT,IT-BOLZANO
P.A. Bolzano,530009,2020-05-29,2595,2147,291,IT,IT-BOLZANO
Calabria,1947131,2020-05-15,1144,544,95,IT,IT-CALABRIA
Calabria,1947131,2020-05-16,1151,582,95,IT,IT-CALABRIA
Calabria,1947131,2020-05-17,1151,634,95,IT,IT-CALABRIA
Calabria,1947131,2020-05-18,1151,655,95,IT,IT-CALABRIA
Calabria,1947131,2020-05-19,1153,676,95,IT,IT-CALABRIA
Calabria,1947131,2020-05-20,1156,707,96,IT,IT-CALABRIA
Calabria,1947131,2020-05-21,1156,734,96,IT,IT-CALABRIA
Calabria,1947131,2020-05-22,1157,759,96,IT,IT-CALABRIA
Calabria,1947131,2020-05-23,1157,773,96,IT,IT-CALABRIA
Calabria,1947131,2020-05-24,1157,786,96,IT,IT-CALABRIA
Calabria,1947131,2020-05-25,1157,797,96,IT,IT-CALABRIA
Calabria,1947131,2020-05-26,1157,823,96,IT,IT-CALABRIA
Calabria,1947131,2020-05-27,1158,872,96,IT,IT-CALABRIA
Calabria,1947131,2020-05-28,1158,892,96,IT,IT-CALABRIA
Calabria,1947131,2020-05-29,1158,892,96,IT,IT-CALABRIA
Campania,5801692,2020-05-15,4654,2522,396,IT,IT-CAMPANIA
Campania,5801692,2020-05-16,4668,2562,396,IT,IT-CAMPANIA
Campania,5801692,2020-05-17,4684,2592,396,IT,IT-CAMPANIA
Campania,5801692,2020-05-18,4695,2623,399,IT,IT-CAMPANIA
Campania,5801692,2020-05-19,4707,2790,399,IT,IT-CAMPANIA
Campania,5801692,2020-05-20,4714,2871,401,IT,IT-CAMPANIA
Campania,5801692,2020-05-21,4723,2947,403,IT,IT-CAMPANIA
Campania,5801692,2020-05-22,4733,3037,404,IT,IT-CAMPANIA
Campania,5801692,2020-05-23,4744,3067,404,IT,IT-CAMPANIA
Campania,5801692,2020-05-24,4749,3076,405,IT,IT-CAMPANIA
Campania,5801692,2020-05-25,4755,3137,405,IT,IT-CAMPANIA
Campania,5801692,2020-05-26,4767,3178,405,IT,IT-CAMPANIA
Campania,5801692,2020-05-27,4773,3221,406,IT,IT-CAMPANIA
Campania,5801692,2020-05-28,4777,3355,410,IT,IT-CAMPANIA
Campania,5801692,2020-05-29,4777,3355,410,IT,IT-CAMPANIA
Emilia-Romagna,4459477,2020-05-15,27110,17166,3943,IT,IT-EMILIA-ROMAGNA
Emilia-Romagna,4459477,2020-05-16,27182,17370,3960,IT,IT-EMILIA-ROMAGNA
Emilia-Romagna,4459477,2020-05-17,27232,17603,3973,IT,IT-EMILIA-ROMAGNA
Emilia-Romagna,4459477,2020-05-18,27267,17756,3986,IT,IT-EMILIA-ROMAGNA
Emilia-Romagna,4459477,2020-05-19,27314,17987,3997,IT,IT-EMILIA-ROMAGNA
Emilia-Romagna,4459477,2020-05-20,27364,18258,4008,IT,IT-EMILIA-ROMAGNA
Emilia-Romagna,4459477,2020-05-21,27417,18466,4025,IT,IT-EMILIA-ROMAGNA
Emilia-Romagna,4459477,2020-05-22,27470,18703,4037,IT,IT-EMILIA-ROMAGNA
Emilia-Romagna,4459477,2020-05-23,27513,18896,4047,IT,IT-EMILIA-ROMAGNA
Emilia-Romagna,4459477,2020-05-24,27558,19046,4055,IT,IT-EMILIA-ROMAGNA
Emilia-Romagna,4459477,2020-05-25,27587,19160,4068,IT,IT-EMILIA-ROMAGNA
Emilia-Romagna,4459477,2020-05-26,27611,19389,4076,IT,IT-EMILIA-ROMAGNA
Emilia-Romagna,4459477,2020-05-27,27627,19546,4083,IT,IT-EMILIA-ROMAGNA
Emilia-Romagna,4459477,2020-05-28,27701,19857,4094,IT,IT-EMILIA-ROMAGNA
Emilia-Romagna,4459477,2020-05-29,27701,19857,4094,IT,IT-EMILIA-ROMAGNA
Friuli Venezia Giulia,1215220,2020-05-15,3175,2116,318,IT,IT-FRIULI-VENEZIA-GIULIA
Friuli Venezia Giulia,1215220,2020-05-16,3183,2184,319,IT,IT-FRIULI-VENEZIA-GIULIA
Friuli Venezia Giulia,1215220,2020-05-17,3191,2218,319,IT,IT-FRIULI-VENEZIA-GIULIA
Friuli Venezia Giulia,1215220,2020-05-18,3198,2257,320,IT,IT-FRIULI-VENEZIA-GIULIA
Friuli Venezia Giulia,1215220,2020-05-19,3203,2283,320,IT,IT-FRIULI-VENEZIA-GIULIA
Friuli Venezia Giulia,1215220,2020-05-20,3209,2291,322,IT,IT-FRIULI-VENEZIA-GIULIA
Friuli Venezia Giulia,1215220,2020-05-21,3215,2314,323,IT,IT-FRIULI-VENEZIA-GIULIA
Friuli Venezia Giulia,1215220,2020-05-22,3227,2417,325,IT,IT-FRIULI-VENEZIA-GIULIA
Friuli Venezia Giulia,1215220,2020-05-23,3233,2447,327,IT,IT-FRIULI-VENEZIA-GIULIA
Friuli Venezia Giulia,1215220,2020-05-24,3236,2495,329,IT,IT-FRIULI-VENEZIA-GIULIA
Friuli Venezia Giulia,1215220,2020-05-25,3240,2525,329,IT,IT-FRIULI-VENEZIA-GIULIA
Friuli Venezia Giulia,1215220,2020-05-26,3251,2547,329,IT,IT-FRIULI-VENEZIA-GIULIA
Friuli Venezia Giulia,1215220,2020-05-27,3255,2568,331,IT,IT-FRIULI-VENEZIA-GIULIA
Friuli Venezia Giulia,1215220,2020-05-28,3262,2593,333,IT,IT-FRIULI-VENEZIA-GIULIA
Friuli Venezia Giulia,1215220,2020-05-29,3262,2593,333,IT,IT-FRIULI-VENEZIA-GIULIA
Lazio,5879082,2020-05-15,7364,2672,604,IT,IT-LAZIO
Lazio,5879082,2020-05-16,7396,2758,616,IT,IT-LAZIO
Lazio,5879082,2020-05-17,7446,2914,622,IT,IT-LAZIO
Lazio,5879082,2020-05-18,7485,3031,628,IT,IT-LAZIO
Lazio,5879082,2020-05-19,7505,3079,640,IT,IT-LAZIO
Lazio,5879082,2020-05-20,7533,3100,647,IT,IT-LAZIO
Lazio,5879082,2020-05-21,7558,3259,662,IT,IT-LAZIO
Lazio,5879082,2020-05-22,7589,3285,669,IT,IT-LAZIO
Lazio,5879082,2020-05-23,7607,3350,676,IT,IT-LAZIO
Lazio,5879082,2020-05-24,7627,3374,684,IT,IT-LAZIO
Lazio,5879082,2020-05-25,7643,3401,688,IT,IT-LAZIO
Lazio,5879082,2020-05-26,7661,3430,693,IT,IT-LAZIO
Lazio,5879082,2020-05-27,7672,3483,701,IT,IT-LAZIO
Lazio,5879082,2020-05-28,7693,3580,708,IT,IT-LAZIO
Lazio,5879082,2020-05-29,7693,3580,708,IT,IT-LAZIO
Liguria,1550640,2020-05-15,9060,5121,1336,IT,IT-LIGURIA
Liguria,1550640,2020-05-16,9111,5232,1346,IT,IT-LIGURIA
Liguria,1550640,2020-05-17,9159,5348,1355,IT,IT-LIGURIA
Liguria,1550640,2020-05-18,9191,5485,1367,IT,IT-LIGURIA
Liguria,1550640,2020-05-19,9257,5617,1376,IT,IT-LIGURIA
Liguria,1550640,2020-05-20,9289,5725,1386,IT,IT-LIGURIA
Liguria,1550640,2020-05-21,9344,5872,1397,IT,IT-LIGURIA
Liguria,1550640,2020-05-22,9389,6074,1407,IT,IT-LIGURIA
Liguria,1550640,2020-05-23,9427,6279,1414,IT,IT-LIGURIA
Liguria,1550640,2020-05-24,9480,6437,1419,IT,IT-LIGURIA
Liguria,1550640,2020-05-25,9497,6516,1425,IT,IT-LIGURIA
Liguria,1550640,2020-05-26,9550,6681,1431,IT,IT-LIGURIA
Liguria,1550640,2020-05-27,9589,6882,1438,IT,IT-LIGURIA
Liguria,1550640,2020-05-28,9605,7015,1445,IT,IT-LIGURIA
Liguria,1550640,2020-05-29,9605,7015,1445,IT,IT-LIGURIA
Lombardia,10060574,2020-05-15,84119,40962,15411,IT,IT-LOMBARDIA
Lombardia,10060574,2020-05-16,84518,41389,15450,IT,IT-LOMBARDIA
Lombardia,10060574,2020-05-17,84844,41895,15519,IT,IT-LOMBARDIA
Lombardia,10060574,2020-05-18,85019,42403,15543,IT,IT-LOMBARDIA
Lombardia,10060574,2020-05-19,85481,42593,15597,IT,IT-LOMBARDIA
Lombardia,10060574,2020-05-20,85775,43442,15662,IT,IT-LOMBARDIA
Lombardia,10060574,2020-05-21,86091,43649,15727,IT,IT-LOMBARDIA
Lombardia,10060574,2020-05-22,86384,44667,15784,IT,IT-LOMBARDIA
Lombardia,10060574,2020-05-23,86825,45355,15840,IT,IT-LOMBARDIA
Lombardia,10060574,2020-05-24,87110,45656,15840,IT,IT-LOMBARDIA
Lombardia,10060574,2020-05-25,87258,46169,15874,IT,IT-LOMBARDIA
Lombardia,10060574,2020-05-26,87417,47044,15896,IT,IT-LOMBARDIA
Lombardia,10060574,2020-05-27,87801,47810,15954,IT,IT-LOMBARDIA
Lombardia,10060574,2020-05-28,88183,49296,15974,IT,IT-LOMBARDIA
Lombardia,10060574,2020-05-29,88183,49296,15974,IT,IT-LOMBARDIA
Marche,1525271,2020-05-15,6619,2847,977,IT,IT-MARCHE
Marche,1525271,2020-05-16,6642,3003,982,IT,IT-MARCHE
Marche,1525271,2020-05-17,6667,3118,984,IT,IT-MARCHE
Marche,1525271,2020-05-18,6678,3379,984,IT,IT-MARCHE
Marche,1525271,2020-05-19,6675,3561,986,IT,IT-MARCHE
Marche,1525271,2020-05-20,6677,3716,987,IT,IT-MARCHE
Marche,1525271,2020-05-21,6689,3867,990,IT,IT-MARCHE
Marche,1525271,2020-05-22,6697,3939,990,IT,IT-MARCHE
Marche,1525271,2020-05-23,6701,3995,993,IT,IT-MARCHE
Marche,1525271,2020-05-24,6714,4028,994,IT,IT-MARCHE
Marche,1525271,2020-05-25,6716,4059,995,IT,IT-MARCHE
Marche,1525271,2020-05-26,6718,4147,996,IT,IT-MARCHE
Marche,1525271,2020-05-27,6718,4272,996,IT,IT-MARCHE
Marche,1525271,2020-05-28,6719,4376,997,IT,IT-MARCHE
Marche,1525271,2020-05-29,6719,4376,997,IT,IT-MARCHE
Molise,305617,2020-05-15,407,158,22,IT,IT-MOLISE
Molise,305617,2020-05-16,410,173,22,IT,IT-MOLISE
Molise,305617,2020-05-17,411,173,22,IT,IT-MOLISE
Molise,305617,2020-05-18,422,183,22,IT,IT-MOLISE
Molise,305617,2020-05-19,422,188,22,IT,IT-MOLISE
Molise,305617,2020-05-20,422,202,22,IT,IT-MOLISE
Molise,305617,2020-05-21,423,207,22,IT,IT-MOLISE
Molise,305617,2020-05-22,426,220,22,IT,IT-MOLISE
Molise,305617,2020-05-23,431,220,22,IT,IT-MOLISE
Molise,305617,2020-05-24,432,227,22,IT,IT-MOLISE
Molise,305617,2020-05-25,432,233,22,IT,IT-MOLISE
Molise,305617,2020-05-26,432,236,22,IT,IT-MOLISE
Molise,305617,2020-05-27,434,246,22,IT,IT-MOLISE
Molise,305617,2020-05-28,435,250,22,IT,IT-MOLISE
Molise,305617,2020-05-29,435,250,22,IT,IT-MOLISE
Sardegna,1639591,2020-05-15,1348,762,125,IT,IT-PARDEGNA
Sardegna,1639591,2020-05-16,1352,812,125,IT,IT-PARDEGNA
Sardegna,1639591,2020-05-17,1353,823,125,IT,IT-PARDEGNA
Sardegna,1639591,2020-05-18,1353,847,126,IT,IT-PARDEGNA
Sardegna,1639591,2020-05-19,1354,887,126,IT,IT-PARDEGNA
Sardegna,1639591,2020-05-20,1355,898,126,IT,IT-PARDEGNA
Sardegna,1639591,2020-05-21,1356,911,127,IT,IT-PARDEGNA
Sardegna,1639591,2020-05-22,1356,922,128,IT,IT-PARDEGNA
Sardegna,1639591,2020-05-23,1356,940,129,IT,IT-PARDEGNA
Sardegna,1639591,2020-05-24,1356,982,129,IT,IT-PARDEGNA
Sardegna,1639591,2020-05-25,1354,994,129,IT,IT-PARDEGNA
Sardegna,1639591,2020-05-26,1354,1000,130,IT,IT-PARDEGNA
Sardegna,1639591,2020-05-27,1355,1010,130,IT,IT-PARDEGNA
Sardegna,1639591,2020-05-28,1355,1025,130,IT,IT-PARDEGNA
Sardegna,1639591,2020-05-29,1355,1025,130,IT,IT-PARDEGNA
