stateCode,reportDate,source,cases_day,deaths_day,reportDate_timestamp,ags,community_name,cases,deaths,population_number,population_density
DE-BW,2020-03-05,RKI,0,0,1583366400000,08111,Stuttgart,0,0,634830,3062
DE-BW,2020-03-06,RKI,0,0,1583452800000,08111,Stuttgart,0,0,634830,3062
DE-BW,2020-03-07,RKI,4,0,1583539200000,08111,Stuttgart,4,0,634830,3062
DE-BW,2020-03-09,RKI,7,0,1583712000000,08111,Stuttgart,11,0,634830,3062
DE-BW,2020-03-10,RKI,7,0,1583798400000,08111,Stuttgart,18,0,634830,3062
DE-BW,2020-03-11,RKI,3,0,1583884800000,08111,Stuttgart,21,0,634830,3062
DE-BW,2020-03-12,RKI,6,0,1583971200000,08111,Stuttgart,27,0,634830,3062
DE-BW,2020-03-13,RKI,30,0,1584057600000,08111,Stuttgart,57,0,634830,3062
DE-BW,2020-03-14,RKI,31,0,1584144000000,08111,Stuttgart,88,0,634830,3062
DE-BW,2020-03-15,RKI,15,0,1584230400000,08111,Stuttgart,103,0,634830,3062
DE-BW,2020-03-16,RKI,69,1,1584316800000,08111,Stuttgart,172,1,634830,3062
DE-BW,2020-03-17,RKI,22,0,1584403200000,08111,Stuttgart,194,1,634830,3062
DE-BW,2020-03-18,RKI,52,0,1584489600000,08111,Stuttgart,246,1,634830,3062
DE-BW,2020-03-19,RKI,25,2,1584576000000,08111,Stuttgart,271,3,634830,3062
DE-BW,2020-03-20,RKI,62,1,1584662400000,08111,Stuttgart,333,4,634830,3062
DE-BW,2020-03-21,RKI,44,0,1584748800000,08111,Stuttgart,377,4,634830,3062
DE-BW,2020-03-22,RKI,13,0,1584835200000,08111,Stuttgart,390,4,634830,3062
DE-BW,2020-03-23,RKI,23,0,1584921600000,08111,Stuttgart,413,4,634830,3062
DE-BW,2020-03-24,RKI,33,1,1585008000000,08111,Stuttgart,446,5,634830,3062
DE-BW,2020-03-25,RKI,36,0,1585094400000,08111,Stuttgart,482,5,634830,3062
DE-BW,2020-03-26,RKI,63,1,1585180800000,08111,Stuttgart,545,6,634830,3062
DE-BW,2020-03-27,RKI,52,0,1585267200000,08111,Stuttgart,597,6,634830,3062
DE-BW,2020-03-28,RKI,14,0,1585353600000,08111,Stuttgart,611,6,634830,3062
DE-BW,2020-03-05,RKI,1,0,1583366400000,08115,Böblingen,1,0,391640,634
DE-BW,2020-03-09,RKI,0,0,1583712000000,08115,Böblingen,1,0,391640,634
DE-BW,2020-03-11,RKI,1,0,1583884800000,08115,Böblingen,2,0,391640,634
DE-BW,2020-03-12,RKI,2,0,1583971200000,08115,Böblingen,4,0,391640,634
DE-BW,2020-03-13,RKI,10,0,1584057600000,08115,Böblingen,14,0,391640,634
DE-BW,2020-03-14,RKI,4,0,1584144000000,08115,Böblingen,18,0,391640,634
DE-BW,2020-03-15,RKI,7,0,1584230400000,08115,Böblingen,25,0,391640,634
DE-BW,2020-03-16,RKI,7,1,1584316800000,08115,Böblingen,32,1,391640,634
DE-BW,2020-03-17,RKI,22,0,1584403200000,08115,Böblingen,54,1,391640,634
DE-BW,2020-03-18,RKI,39,0,1584489600000,08115,Böblingen,93,1,391640,634
