state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Blekinge,159606,2020-06-08,297,0,5,SE,SE-BLEKINGE
Blekinge,159606,2020-06-09,307,0,7,SE,SE-BLEKINGE
Blekinge,159606,2020-06-10,311,0,7,SE,SE-BLEKINGE
Blekinge,159606,2020-06-11,319,0,7,SE,SE-BLEKINGE
Blekinge,159606,2020-06-12,343,0,7,SE,SE-BLEKINGE
Blekinge,159606,2020-06-13,357,0,7,SE,SE-BLEKINGE
Blekinge,159606,2020-06-14,369,0,7,SE,SE-BLEKINGE
Blekinge,159606,2020-06-15,379,0,8,SE,SE-BLEKINGE
Blekinge,159606,2020-06-16,382,0,9,SE,SE-BLEKINGE
Blekinge,159606,2020-06-17,389,0,8,SE,SE-BLEKINGE
Blekinge,159606,2020-06-18,402,0,9,SE,SE-BLEKINGE
Blekinge,159606,2020-06-19,402,0,9,SE,SE-BLEKINGE
Blekinge,159606,2020-06-20,402,0,9,SE,SE-BLEKINGE
Blekinge,159606,2020-06-21,402,0,9,SE,SE-BLEKINGE
Blekinge,159606,2020-06-22,414,0,10,SE,SE-BLEKINGE
Blekinge,159606,2020-06-23,417,0,11,SE,SE-BLEKINGE
Blekinge,159606,2020-06-24,425,0,12,SE,SE-BLEKINGE
Blekinge,159606,2020-06-25,430,0,12,SE,SE-BLEKINGE
Blekinge,159606,2020-06-26,436,0,12,SE,SE-BLEKINGE
Blekinge,159606,2020-06-27,436,0,12,SE,SE-BLEKINGE
Blekinge,159606,2020-06-28,436,0,12,SE,SE-BLEKINGE
Blekinge,159606,2020-06-29,444,0,12,SE,SE-BLEKINGE
Blekinge,159606,2020-06-30,444,0,12,SE,SE-BLEKINGE
Blekinge,159606,2020-07-01,447,0,13,SE,SE-BLEKINGE
Blekinge,159606,2020-07-02,449,0,14,SE,SE-BLEKINGE
Blekinge,159606,2020-07-03,452,0,14,SE,SE-BLEKINGE
Dalarna,287966,2020-06-08,1315,0,147,SE,SE-DALARNA
Dalarna,287966,2020-06-09,1329,0,147,SE,SE-DALARNA
Dalarna,287966,2020-06-10,1345,0,150,SE,SE-DALARNA
Dalarna,287966,2020-06-11,1363,0,150,SE,SE-DALARNA
Dalarna,287966,2020-06-12,1372,0,151,SE,SE-DALARNA
Dalarna,287966,2020-06-13,1375,0,151,SE,SE-DALARNA
Dalarna,287966,2020-06-14,1385,0,151,SE,SE-DALARNA
Dalarna,287966,2020-06-15,1395,0,151,SE,SE-DALARNA
Dalarna,287966,2020-06-16,1398,0,151,SE,SE-DALARNA
Dalarna,287966,2020-06-17,1405,0,153,SE,SE-DALARNA
Dalarna,287966,2020-06-18,1410,0,153,SE,SE-DALARNA
Dalarna,287966,2020-06-19,1410,0,153,SE,SE-DALARNA
