state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Australian Capital Territory,358894,2020-03-13,1,0,0,AU,AU-ACT
Australian Capital Territory,358894,2020-03-14,1,0,0,AU,AU-ACT
Australian Capital Territory,358894,2020-03-15,1,0,0,AU,AU-ACT
Australian Capital Territory,358894,2020-03-16,2,0,0,AU,AU-ACT
Australian Capital Territory,358894,2020-03-17,2,0,0,AU,AU-ACT
Australian Capital Territory,358894,2020-03-18,3,0,0,AU,AU-ACT
Australian Capital Territory,358894,2020-03-19,4,0,0,AU,AU-ACT
Australian Capital Territory,358894,2020-03-20,6,0,0,AU,AU-ACT
Australian Capital Territory,358894,2020-03-21,9,0,0,AU,AU-ACT
Australian Capital Territory,358894,2020-03-22,19,0,0,AU,AU-ACT
Australian Capital Territory,358894,2020-03-23,32,0,0,AU,AU-ACT
Australian Capital Territory,358894,2020-03-24,39,0,0,AU,AU-ACT
Australian Capital Territory,358894,2020-03-25,39,0,0,AU,AU-ACT
Australian Capital Territory,358894,2020-03-26,53,1,0,AU,AU-ACT
Australian Capital Territory,358894,2020-03-27,62,1,0,AU,AU-ACT
Australian Capital Territory,358894,2020-03-28,71,2,0,AU,AU-ACT
Australian Capital Territory,358894,2020-03-29,77,2,0,AU,AU-ACT
Australian Capital Territory,358894,2020-03-30,78,2,1,AU,AU-ACT
Australian Capital Territory,358894,2020-03-31,80,3,1,AU,AU-ACT
Australian Capital Territory,358894,2020-04-01,84,8,1,AU,AU-ACT
Australian Capital Territory,358894,2020-04-02,87,11,1,AU,AU-ACT
Australian Capital Territory,358894,2020-04-03,91,18,1,AU,AU-ACT
Australian Capital Territory,358894,2020-04-04,93,18,2,AU,AU-ACT
Australian Capital Territory,358894,2020-04-05,96,28,2,AU,AU-ACT
Australian Capital Territory,358894,2020-04-06,96,40,2,AU,AU-ACT
Australian Capital Territory,358894,2020-04-07,96,40,2,AU,AU-ACT
Australian Capital Territory,358894,2020-04-08,99,40,2,AU,AU-ACT
Australian Capital Territory,358894,2020-04-09,100,47,2,AU,AU-ACT
Australian Capital Territory,358894,2020-04-10,103,59,2,AU,AU-ACT
Australian Capital Territory,358894,2020-04-11,103,59,2,AU,AU-ACT
Australian Capital Territory,358894,2020-04-12,103,59,2,AU,AU-ACT
Australian Capital Territory,358894,2020-04-13,102,59,2,AU,AU-ACT
Australian Capital Territory,358894,2020-04-14,103,72,2,AU,AU-ACT
Australian Capital Territory,358894,2020-04-15,103,72,3,AU,AU-ACT
Australian Capital Territory,358894,2020-04-16,103,82,3,AU,AU-ACT
Australian Capital Territory,358894,2020-04-17,103,81,3,AU,AU-ACT
Australian Capital Territory,358894,2020-04-18,103,88,3,AU,AU-ACT
Australian Capital Territory,358894,2020-04-19,103,88,3,AU,AU-ACT
Australian Capital Territory,358894,2020-04-20,103,88,3,AU,AU-ACT
Australian Capital Territory,358894,2020-04-21,103,88,3,AU,AU-ACT
Australian Capital Territory,358894,2020-04-22,103,88,3,AU,AU-ACT
Australian Capital Territory,358894,2020-04-23,103,88,3,AU,AU-ACT
Australian Capital Territory,358894,2020-04-24,104,88,3,AU,AU-ACT
Australian Capital Territory,358894,2020-04-25,105,88,3,AU,AU-ACT
Australian Capital Territory,358894,2020-04-26,106,98,3,AU,AU-ACT
Australian Capital Territory,358894,2020-04-27,106,100,3,AU,AU-ACT
Australian Capital Territory,358894,2020-04-28,106,101,3,AU,AU-ACT
Australian Capital Territory,358894,2020-04-29,106,101,3,AU,AU-ACT
Australian Capital Territory,358894,2020-04-30,106,103,3,AU,AU-ACT
Australian Capital Territory,358894,2020-05-01,106,103,3,AU,AU-ACT
Australian Capital Territory,358894,2020-05-02,106,103,3,AU,AU-ACT
Australian Capital Territory,358894,2020-05-03,106,103,3,AU,AU-ACT
Australian Capital Territory,358894,2020-05-04,107,103,3,AU,AU-ACT
Australian Capital Territory,358894,2020-05-05,107,103,3,AU,AU-ACT
Australian Capital Territory,358894,2020-05-06,107,103,3,AU,AU-ACT
Australian Capital Territory,358894,2020-05-07,107,103,3,AU,AU-ACT
Australian Capital Territory,358894,2020-05-08,107,103,3,AU,AU-ACT
Australian Capital Territory,358894,2020-05-09,107,103,3,AU,AU-ACT
Australian Capital Territory,358894,2020-05-10,107,104,3,AU,AU-ACT
Australian Capital Territory,358894,2020-05-11,107,104,3,AU,AU-ACT
New South Wales,7238819,2020-01-27,4,0,0,AU,AU-NSW
New South Wales,7238819,2020-01-28,4,0,0,AU,AU-NSW
New South Wales,7238819,2020-01-29,4,0,0,AU,AU-NSW
New South Wales,7238819,2020-01-30,4,2,0,AU,AU-NSW
