state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Andaman and Nicobar Islands,417036,2020-06-11,34,33,0,IN,IN-ANDAMAN-AND-NICOBAR-ISLANDS
Andhra Pradesh,53903393,2020-06-11,5269,2899,78,IN,IN-ANDHRA-PRADESH
Arunachal Pradesh,1570458,2020-06-11,57,2,0,IN,IN-ARUNACHAL-PRADESH
Assam,35607039,2020-06-11,3092,1249,4,IN,IN-ASSAM
Bihar,124799926,2020-06-11,5710,3071,33,IN,IN-BIHAR
Chandigarh,1158473,2020-06-11,327,286,5,IN,IN-CHANDIGARH
Chhattisgarh,29436231,2020-06-11,1262,402,6,IN,IN-CHHATTISGARH
Dadar Nagar Haveli,615724,2020-06-11,26,2,0,IN,IN-DADAR-NAGAR-HAVELI
Delhi,18710922,2020-06-11,32810,12245,984,IN,IN-DELHI
Goa,1586250,2020-06-11,387,67,0,IN,IN-GOA
Gujarat,63872399,2020-06-11,21521,14735,1347,IN,IN-GUJARAT
Haryana,28204692,2020-06-11,5579,2188,52,IN,IN-HARYANA
Himachal Pradesh,7451955,2020-06-11,451,254,6,IN,IN-HIMACHAL-PRADESH
Jammu and Kashmir,13606320,2020-06-11,4507,1671,51,IN,IN-JAMMU-AND-KASHMIR
Jharkhand,38593948,2020-06-11,1489,592,8,IN,IN-JHARKHAND
Karnataka,67562686,2020-06-11,6041,2862,69,IN,IN-KARNATAKA
Kerala,35699443,2020-06-11,2161,905,18,IN,IN-KERALA
Ladakh,274289,2020-06-11,115,52,1,IN,IN-LADAKH
Madhya Pradesh,85358965,2020-06-11,10049,6892,427,IN,IN-MADHYA-PRADESH
Maharashtra,123144223,2020-06-11,94041,44517,3438,IN,IN-MAHARASHTRA
Manipur,3091545,2020-06-11,311,63,0,IN,IN-MANIPUR
Meghalaya,3366710,2020-06-11,44,13,1,IN,IN-MEGHALAYA
Mizoram,1239244,2020-06-11,93,1,0,IN,IN-MIZORAM
Nagaland,2249695,2020-06-11,128,22,0,IN,IN-NAGALAND
Odisha,46356334,2020-06-11,3250,2282,9,IN,IN-ODISHA
Puducherry,1413542,2020-06-11,127,53,0,IN,IN-PUDUCHERRY
Punjab,30141373,2020-06-11,2805,2232,55,IN,IN-PUNJAB
Rajasthan,81032689,2020-06-11,11600,8569,259,IN,IN-RAJASTHAN
Sikkim,690251,2020-06-11,13,0,0,IN,IN-SIKKIM
Tamil Nadu,77841267,2020-06-11,36841,19333,326,IN,IN-TAMIL-NADU
Telangana,39362732,2020-06-11,4111,1817,156,IN,IN-TELANGANA
Tripura,4169794,2020-06-11,895,239,1,IN,IN-TRIPURA
Uttar Pradesh,237882725,2020-06-11,11610,6871,321,IN,IN-UTTAR-PRADESH
Uttarakhand,11250858,2020-06-11,1562,831,15,IN,IN-UTTARAKHAND
West Bengal,99609303,2020-06-11,9328,3779,432,IN,IN-WEST-BENGAL
