reportDate,cases,hospitalized,recovered,infected,deaths,quaratined,population_number,population_density,ags,source
01-03-2020,4,1,0,4,0,3,1085664,2700,5315,Stadt Köln
02-03-2020,5,0,0,5,0,5,1085664,2700,5315,Stadt Köln
03-03-2020,6,0,0,6,0,6,1085664,2700,5315,Stadt Köln
04-03-2020,12,0,0,12,0,12,1085664,2700,5315,Stadt Köln
05-03-2020,15,0,0,15,0,15,1085664,2700,5315,Stadt Köln
06-03-2020,19,0,0,19,0,19,1085664,2700,5315,Stadt Köln
07-03-2020,29,1,1,28,0,27,1085664,2700,5315,Stadt Köln
08-03-2020,30,1,1,29,0,28,1085664,2700,5315,Stadt Köln
09-03-2020,33,1,1,32,0,31,1085664,2700,5315,Stadt Köln
10-03-2020,43,4,1,42,0,38,1085664,2700,5315,Stadt Köln
11-03-2020,54,5,1,53,0,48,1085664,2700,5315,Stadt Köln
12-03-2020,65,4,1,64,0,60,1085664,2700,5315,Stadt Köln
13-03-2020,123,5,1,122,0,117,1085664,2700,5315,Stadt Köln
14-03-2020,154,6,1,153,0,147,1085664,2700,5315,Stadt Köln
15-03-2020,244,7,3,241,0,234,1085664,2700,5315,Stadt Köln
16-03-2020,301,9,3,298,0,289,1085664,2700,5315,Stadt Köln
17-03-2020,384,8,3,380,1,372,1085664,2700,5315,Stadt Köln
18-03-2020,478,9,3,474,1,465,1085664,2700,5315,Stadt Köln
19-03-2020,586,9,11,574,1,565,1085664,2700,5315,Stadt Köln
20-03-2020,679,11,11,666,2,655,1085664,2700,5315,Stadt Köln
21-03-2020,773,18,14,757,2,739,1085664,2700,5315,Stadt Köln
22-03-2020,817,24,34,780,3,756,1085664,2700,5315,Stadt Köln
23-03-2020,857,30,91,763,3,733,1085664,2700,5315,Stadt Köln
24-03-2020,920,35,235,682,3,647,1085664,2700,5315,Stadt Köln
25-03-2020,1002,43,284,714,4,671,1085664,2700,5315,Stadt Köln
26-03-2020,1075,43,284,786,5,743,1085664,2700,5315,Stadt Köln
27-03-2020,1161,52,417,737,7,685,1085664,2700,5315,Stadt Köln
28-03-2020,1249,77,423,817,9,740,1085664,2700,5315,Stadt Köln
29-03-2020,1319,96,462,846,11,750,1085664,2700,5315,Stadt Köln
30-03-2020,1369,101,462,896,11,795,1085664,2700,5315,Stadt Köln
31-03-2020,1431,109,551,866,14,757,1085664,2700,5315,Stadt Köln
01-04-2020,1540,116,619,903,18,787,1085664,2700,5315,Stadt Köln
02-04-2020,1666,130,663,980,23,850,1085664,2700,5315,Stadt Köln
03-04-2020,1715,139,730,959,26,820,1085664,2700,5315,Stadt Köln
04-04-2020,1748,131,730,991,27,860,1085664,2700,5315,Stadt Köln
05-04-2020,1768,140,730,1007,31,867,1085664,2700,5315,Stadt Köln
06-04-2020,1792,142,880,879,33,737,1085664,2700,5315,Stadt Köln
07-04-2020,1839,145,938,867,34,722,1085664,2700,5315,Stadt Köln
08-04-2020,1865,148,1017,810,38,662,1085664,2700,5315,Stadt Köln
09-04-2020,1947,139,1081,823,43,684,1085664,2700,5315,Stadt Köln
10-04-2020,1993,153,1151,798,44,645,1085664,2700,5315,Stadt Köln
11-04-2020,2016,149,1185,784,47,635,1085664,2700,5315,Stadt Köln
12-04-2020,2027,148,1219,758,50,610,1085664,2700,5315,Stadt Köln
13-04-2020,2054,141,1418,583,53,442,1085664,2700,5315,Stadt Köln
14-04-2020,2067,142,1514,495,58,353,1085664,2700,5315,Stadt Köln
15-04-2020,2095,148,1579,458,58,310,1085664,2700,5315,Stadt Köln
16-04-2020,2119,149,1619,440,60,291,1085664,2700,5315,Stadt Köln
17-04-2020,2149,131,1648,432,63,301,1085664,2700,5315,Stadt Köln
18-04-2020,2162,129,1655,444,63,315,1085664,2700,5315,Stadt Köln
19-04-2020,2171,124,1673,435,63,311,1085664,2700,5315,Stadt Köln
20-04-2020,2177,119,1736,375,66,256,1085664,2700,5315,Stadt Köln
21-04-2020,2184,113,1779,335,70,222,1085664,2700,5315,Stadt Köln
22-04-2020,2207,113,1831,304,72,191,1085664,2700,5315,Stadt Köln
23-04-2020,2225,106,1885,263,77,157,1085664,2700,5315,Stadt Köln
24-04-2020,2234,105,1922,229,83,124,1085664,2700,5315,Stadt Köln
25-04-2020,2245,104,1954,206,84,102,1085664,2700,5315,Stadt Köln
26-04-2020,2253,99,1964,205,84,106,1085664,2700,5315,Stadt Köln
27-04-2020,2259,99,1981,193,85,94,1085664,2700,5315,Stadt Köln
28-04-2020,2267,82,1989,191,87,109,1085664,2700,5315,Stadt Köln
29-04-2020,2277,82,2030,158,89,76,1085664,2700,5315,Stadt Köln
30-04-2020,2294,72,2073,111,90,39,1085664,2700,5315,Stadt Köln
01-05-2020,2317,71,2084,143,90,72,1085664,2700,5315,Stadt Köln
02-05-2020,2322,76,2092,138,92,62,1085664,2700,5315,Stadt Köln
03-05-2020,2325,67,2098,135,92,68,1085664,2700,5315,Stadt Köln
04-05-2020,2330,68,2108,130,92,62,1085664,2700,5315,Stadt Köln
05-05-2020,2338,78,2131,114,93,36,1085664,2700,5315,Stadt Köln
06-05-2020,2352,62,2150,109,93,47,1085664,2700,5315,Stadt Köln
07-05-2020,2366,62,2163,109,94,47,1085664,2700,5315,Stadt Köln
08-05-2020,2377,58,2162,121,94,63,1085664,2700,5315,Stadt Köln
09-05-2020,2386,58,2164,128,94,70,1085664,2700,5315,Stadt Köln
10-05-2020,2389,55,2182,110,97,55,1085664,2700,5315,Stadt Köln
11-05-2020,2389,55,2204,88,97,33,1085664,2700,5315,Stadt Köln
12-05-2020,2394,50,2238,59,97,9,1085664,2700,5315,Stadt Köln
13-05-2020,2403,50,2255,51,97,1,1085664,2700,5315,Stadt Köln
14-05-2020,2407,46,2191,119,97,73,1085664,2700,5315,Stadt Köln
15-05-2020,2414,34,2193,124,97,90,1085664,2700,5315,Stadt Köln
16-05-2020,2417,35,2212,108,97,73,1085664,2700,5315,Stadt Köln
17-05-2020,2427,34,2192,138,97,104,1085664,2700,5315,Stadt Köln
18-05-2020,2432,30,2198,137,97,107,1085664,2700,5315,Stadt Köln
19-05-2020,2437,26,2230,109,98,83,1085664,2700,5315,Stadt Köln
20-05-2020,2440,19,2237,105,98,86,1085664,2700,5315,Stadt Köln
21-05-2020,2446,18,2239,109,98,91,1085664,2700,5315,Stadt Köln
22-05-2020,2446,17,2243,105,98,88,1085664,2700,5315,Stadt Köln
23-05-2020,2451,17,2259,94,98,77,1085664,2700,5315,Stadt Köln
24-05-2020,2455,17,2265,92,98,75,1085664,2700,5315,Stadt Köln
25-05-2020,2457,18,2280,79,98,61,1085664,2700,5315,Stadt Köln
26-05-2020,2460,16,2289,72,99,56,1085664,2700,5315,Stadt Köln
27-05-2020,2465,15,2311,55,99,40,1085664,2700,5315,Stadt Köln
28-05-2020,2469,15,2316,54,99,39,1085664,2700,5315,Stadt Köln
29-05-2020,2474,14,2322,53,99,39,1085664,2700,5315,Stadt Köln
30-05-2020,2478,14,2328,51,99,37,1085664,2700,5315,Stadt Köln
31-05-2020,2479,12,2335,45,99,33,1085664,2700,5315,Stadt Köln
01-06-2020,2479,11,2341,39,99,28,1085664,2700,5315,Stadt Köln
02-06-2020,2480,8,2341,40,99,32,1085664,2700,5315,Stadt Köln
03-06-2020,2483,8,2345,38,100,30,1085664,2700,5315,Stadt Köln
04-06-2020,2489,9,2352,37,100,28,1085664,2700,5315,Stadt Köln
05-06-2020,2495,11,2356,39,100,28,1085664,2700,5315,Stadt Köln
06-06-2020,2503,13,2358,45,100,32,1085664,2700,5315,Stadt Köln
07-06-2020,2504,12,2361,43,100,31,1085664,2700,5315,Stadt Köln
08-06-2020,2506,12,2361,45,100,33,1085664,2700,5315,Stadt Köln
09-06-2020,2508,13,2370,38,100,25,1085664,2700,5315,Stadt Köln
10-06-2020,2517,12,2372,45,100,33,1085664,2700,5315,Stadt Köln
11-06-2020,2526,12,2377,49,100,37,1085664,2700,5315,Stadt Köln
12-06-2020,2526,12,2381,45,100,33,1085664,2700,5315,Stadt Köln
