state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Abruzzo,1311580,2020-05-15,3148,1313,381,IT,IT-ABRUZZO
Abruzzo,1311580,2020-05-16,3148,1313,381,IT,IT-ABRUZZO
Basilicata,562869,2020-05-15,389,242,27,IT,IT-BASILICATA
Basilicata,562869,2020-05-16,389,242,27,IT,IT-BASILICATA
P.A. Bolzano,530009,2020-05-15,2578,1929,290,IT,IT-BOLZANO
P.A. Bolzano,530009,2020-05-16,2578,1929,290,IT,IT-BOLZANO
Calabria,1947131,2020-05-15,1144,544,95,IT,IT-CALABRIA
Calabria,1947131,2020-05-16,1144,544,95,IT,IT-CALABRIA
Campania,5801692,2020-05-15,4654,2522,396,IT,IT-CAMPANIA
Campania,5801692,2020-05-16,4654,2522,396,IT,IT-CAMPANIA
Emilia-Romagna,4459477,2020-05-15,27110,17166,3943,IT,IT-EMILIA-ROMAGNA
Emilia-Romagna,4459477,2020-05-16,27110,17166,3943,IT,IT-EMILIA-ROMAGNA
Friuli Venezia Giulia,1215220,2020-05-15,3175,2116,318,IT,IT-FRIULI-VENEZIA-GIULIA
Friuli Venezia Giulia,1215220,2020-05-16,3175,2116,318,IT,IT-FRIULI-VENEZIA-GIULIA
Lazio,5879082,2020-05-15,7364,2672,604,IT,IT-LAZIO
Lazio,5879082,2020-05-16,7364,2672,604,IT,IT-LAZIO
Liguria,1550640,2020-05-15,9060,5121,1336,IT,IT-LIGURIA
Liguria,1550640,2020-05-16,9060,5121,1336,IT,IT-LIGURIA
Lombardia,10060574,2020-05-15,84119,40962,15411,IT,IT-LOMBARDIA
Lombardia,10060574,2020-05-16,84119,40962,15411,IT,IT-LOMBARDIA
Marche,1525271,2020-05-15,6619,2847,977,IT,IT-MARCHE
Marche,1525271,2020-05-16,6619,2847,977,IT,IT-MARCHE
Molise,305617,2020-05-15,407,158,22,IT,IT-MOLISE
Molise,305617,2020-05-16,407,158,22,IT,IT-MOLISE
Sardegna,1639591,2020-05-15,1348,762,125,IT,IT-PARDEGNA
Sardegna,1639591,2020-05-16,1348,762,125,IT,IT-PARDEGNA
Piemonte,4356406,2020-05-15,29346,14676,3557,IT,IT-PIEMONTE
Piemonte,4356406,2020-05-16,29346,14676,3557,IT,IT-PIEMONTE
Puglia,4029053,2020-05-15,4366,1724,461,IT,IT-PUGLIA
Puglia,4029053,2020-05-16,4366,1724,461,IT,IT-PUGLIA
Sicilia,4999891,2020-05-15,3374,1351,263,IT,IT-SICILIA
Sicilia,4999891,2020-05-16,3374,1351,263,IT,IT-SICILIA
Toscana,3729641,2020-05-15,9883,5739,976,IT,IT-TOSCANA
Toscana,3729641,2020-05-16,9883,5739,976,IT,IT-TOSCANA
P.A. Trento,539898,2020-05-15,4318,3461,451,IT,IT-TRENTO
P.A. Trento,539898,2020-05-16,4318,3461,451,IT,IT-TRENTO
Umbria,882015,2020-05-15,1422,1259,73,IT,IT-UMBRIA
Umbria,882015,2020-05-16,1422,1259,73,IT,IT-UMBRIA
Valle d'Aosta,125666,2020-05-15,1172,953,142,IT,IT-VALLE-D-AOSTA
Valle d'Aosta,125666,2020-05-16,1172,953,142,IT,IT-VALLE-D-AOSTA
Veneto,4905854,2020-05-15,18889,12688,1762,IT,IT-VENETO
Veneto,4905854,2020-05-16,18889,12688,1762,IT,IT-VENETO
