state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Amazonas,76589,2020-06-08,1992,1002,73,CO,CO-AMAZONAS
Amazonas,76589,2020-06-09,2029,1067,73,CO,CO-AMAZONAS
Amazonas,76589,2020-06-10,2033,1070,74,CO,CO-AMAZONAS
Amazonas,76589,2020-06-11,2066,1156,74,CO,CO-AMAZONAS
Amazonas,76589,2020-06-12,2075,1167,76,CO,CO-AMAZONAS
Amazonas,76589,2020-06-13,2091,1209,76,CO,CO-AMAZONAS
Amazonas,76589,2020-06-14,2111,1232,78,CO,CO-AMAZONAS
Amazonas,76589,2020-06-15,2126,1306,78,CO,CO-AMAZONAS
Amazonas,76589,2020-06-16,2131,1309,79,CO,CO-AMAZONAS
Amazonas,76589,2020-06-17,2171,1354,79,CO,CO-AMAZONAS
Amazonas,76589,2020-06-18,2171,1354,79,CO,CO-AMAZONAS
Amazonas,76589,2020-06-19,2184,1499,79,CO,CO-AMAZONAS
Amazonas,76589,2020-06-20,2192,1552,85,CO,CO-AMAZONAS
Amazonas,76589,2020-06-21,2192,1572,85,CO,CO-AMAZONAS
Amazonas,76589,2020-06-22,2204,1639,85,CO,CO-AMAZONAS
Amazonas,76589,2020-06-23,2204,1747,85,CO,CO-AMAZONAS
Amazonas,76589,2020-06-24,2211,1771,85,CO,CO-AMAZONAS
Amazonas,76589,2020-06-25,2220,1811,86,CO,CO-AMAZONAS
Amazonas,76589,2020-06-26,2228,1838,87,CO,CO-AMAZONAS
Amazonas,76589,2020-06-27,2241,1862,89,CO,CO-AMAZONAS
Amazonas,76589,2020-06-28,2252,1881,89,CO,CO-AMAZONAS
Amazonas,76589,2020-06-29,2259,1894,89,CO,CO-AMAZONAS
Amazonas,76589,2020-06-30,2276,1914,90,CO,CO-AMAZONAS
Amazonas,76589,2020-07-01,2276,1914,90,CO,CO-AMAZONAS
Amazonas,76589,2020-07-02,2319,1951,90,CO,CO-AMAZONAS
Amazonas,76589,2020-07-03,2325,1960,90,CO,CO-AMAZONAS
Amazonas,76589,2020-07-04,2328,1966,90,CO,CO-AMAZONAS
Amazonas,76589,2020-07-05,2335,2001,90,CO,CO-AMAZONAS
Amazonas,76589,2020-07-06,2364,2039,90,CO,CO-AMAZONAS
Amazonas,76589,2020-07-07,2384,2079,97,CO,CO-AMAZONAS
Amazonas,76589,2020-07-08,2391,2089,99,CO,CO-AMAZONAS
Amazonas,76589,2020-07-09,2394,2104,99,CO,CO-AMAZONAS
Amazonas,76589,2020-07-10,2399,2110,101,CO,CO-AMAZONAS
Amazonas,76589,2020-07-11,2406,2159,102,CO,CO-AMAZONAS
Amazonas,76589,2020-07-12,2411,2167,102,CO,CO-AMAZONAS
Amazonas,76589,2020-07-13,2418,2186,102,CO,CO-AMAZONAS
Amazonas,76589,2020-07-14,2428,2196,103,CO,CO-AMAZONAS
Amazonas,76589,2020-07-15,2433,2199,103,CO,CO-AMAZONAS
Amazonas,76589,2020-07-16,2433,2230,103,CO,CO-AMAZONAS
Amazonas,76589,2020-07-17,2433,2230,103,CO,CO-AMAZONAS
Antioquia,6407102,2020-06-08,1518,575,9,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-09,1574,589,10,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-10,1648,591,10,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-11,1704,610,10,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-12,1731,659,10,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-13,1782,703,10,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-14,1884,765,10,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-15,2022,769,11,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-16,2147,782,11,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-17,2273,809,13,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-18,2273,809,13,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-19,2498,909,13,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-20,2660,954,14,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-21,2758,982,15,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-22,2921,1048,16,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-23,3009,1128,16,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-24,3098,1187,18,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-25,3239,1261,19,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-26,3457,1335,22,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-27,3647,1405,24,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-28,3873,1477,27,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-29,4089,1521,27,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-06-30,4232,1606,27,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-07-01,4232,1606,27,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-07-02,4660,1921,30,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-07-03,4981,2012,35,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-07-04,5263,2083,42,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-07-05,5675,2136,46,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-07-06,5990,2189,52,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-07-07,6385,2290,58,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-07-08,6773,2361,62,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-07-09,7246,2451,66,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-07-10,7825,2577,72,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-07-11,8451,2671,77,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-07-12,8744,2795,90,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-07-13,9253,2884,98,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-07-14,9582,2944,109,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-07-15,10576,3089,124,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-07-16,11351,3202,133,CO,CO-ANTIOQUIA
Antioquia,6407102,2020-07-17,11351,3202,133,CO,CO-ANTIOQUIA
Arauca,262174,2020-06-08,2,1,0,CO,CO-ARAUCA
Arauca,262174,2020-06-09,2,1,0,CO,CO-ARAUCA
Arauca,262174,2020-06-10,2,1,0,CO,CO-ARAUCA
Arauca,262174,2020-06-11,2,1,0,CO,CO-ARAUCA
