state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Cherkasy Oblast,1206351,2020-06-08,469,346,18,UA,UA-CHERKASY-OBLAST
Cherkasy Oblast,1206351,2020-06-09,490,346,18,UA,UA-CHERKASY-OBLAST
Cherkasy Oblast,1206351,2020-06-10,501,346,19,UA,UA-CHERKASY-OBLAST
Cherkasy Oblast,1206351,2020-06-11,506,348,19,UA,UA-CHERKASY-OBLAST
Cherkasy Oblast,1206351,2020-06-12,517,352,19,UA,UA-CHERKASY-OBLAST
Cherkasy Oblast,1206351,2020-06-13,536,356,19,UA,UA-CHERKASY-OBLAST
Cherkasy Oblast,1206351,2020-06-14,543,356,19,UA,UA-CHERKASY-OBLAST
Cherkasy Oblast,1206351,2020-06-15,552,356,19,UA,UA-CHERKASY-OBLAST
Cherkasy Oblast,1206351,2020-06-16,562,357,20,UA,UA-CHERKASY-OBLAST
Cherkasy Oblast,1206351,2020-06-17,564,369,21,UA,UA-CHERKASY-OBLAST
Cherkasy Oblast,1206351,2020-06-18,568,374,21,UA,UA-CHERKASY-OBLAST
Cherkasy Oblast,1206351,2020-06-19,585,388,21,UA,UA-CHERKASY-OBLAST
Cherkasy Oblast,1206351,2020-06-20,592,392,21,UA,UA-CHERKASY-OBLAST
Cherkasy Oblast,1206351,2020-06-21,603,393,21,UA,UA-CHERKASY-OBLAST
Chernihiv Oblast,1005745,2020-06-08,299,81,8,UA,UA-CHERNIHIV-OBLAST
Chernihiv Oblast,1005745,2020-06-09,304,81,8,UA,UA-CHERNIHIV-OBLAST
Chernihiv Oblast,1005745,2020-06-10,320,81,8,UA,UA-CHERNIHIV-OBLAST
Chernihiv Oblast,1005745,2020-06-11,341,81,8,UA,UA-CHERNIHIV-OBLAST
Chernihiv Oblast,1005745,2020-06-12,366,81,8,UA,UA-CHERNIHIV-OBLAST
Chernihiv Oblast,1005745,2020-06-13,385,81,9,UA,UA-CHERNIHIV-OBLAST
Chernihiv Oblast,1005745,2020-06-14,410,81,9,UA,UA-CHERNIHIV-OBLAST
Chernihiv Oblast,1005745,2020-06-15,424,81,10,UA,UA-CHERNIHIV-OBLAST
Chernihiv Oblast,1005745,2020-06-16,427,81,10,UA,UA-CHERNIHIV-OBLAST
Chernihiv Oblast,1005745,2020-06-17,440,107,10,UA,UA-CHERNIHIV-OBLAST
Chernihiv Oblast,1005745,2020-06-18,448,112,10,UA,UA-CHERNIHIV-OBLAST
Chernihiv Oblast,1005745,2020-06-19,459,112,10,UA,UA-CHERNIHIV-OBLAST
Chernihiv Oblast,1005745,2020-06-20,467,112,10,UA,UA-CHERNIHIV-OBLAST
Chernihiv Oblast,1005745,2020-06-21,475,112,10,UA,UA-CHERNIHIV-OBLAST
Chernivtsi Oblast,904374,2020-06-08,3698,1133,152,UA,UA-CHERNIVTSI-OBLAST
Chernivtsi Oblast,904374,2020-06-09,3729,1150,152,UA,UA-CHERNIVTSI-OBLAST
Chernivtsi Oblast,904374,2020-06-10,3757,1171,157,UA,UA-CHERNIVTSI-OBLAST
Chernivtsi Oblast,904374,2020-06-11,3793,1176,159,UA,UA-CHERNIVTSI-OBLAST
Chernivtsi Oblast,904374,2020-06-12,3831,1200,163,UA,UA-CHERNIVTSI-OBLAST
Chernivtsi Oblast,904374,2020-06-13,3869,1215,164,UA,UA-CHERNIVTSI-OBLAST
Chernivtsi Oblast,904374,2020-06-14,3916,1225,164,UA,UA-CHERNIVTSI-OBLAST
Chernivtsi Oblast,904374,2020-06-15,3959,1243,165,UA,UA-CHERNIVTSI-OBLAST
Chernivtsi Oblast,904374,2020-06-16,4013,1265,165,UA,UA-CHERNIVTSI-OBLAST
Chernivtsi Oblast,904374,2020-06-17,4082,1328,166,UA,UA-CHERNIVTSI-OBLAST
Chernivtsi Oblast,904374,2020-06-18,4135,1415,170,UA,UA-CHERNIVTSI-OBLAST
Chernivtsi Oblast,904374,2020-06-19,4211,1470,171,UA,UA-CHERNIVTSI-OBLAST
Chernivtsi Oblast,904374,2020-06-20,4268,1534,171,UA,UA-CHERNIVTSI-OBLAST
Chernivtsi Oblast,904374,2020-06-21,4324,1563,171,UA,UA-CHERNIVTSI-OBLAST
Crimea Republic,1913731,2020-06-08,438,317,5,UA,UA-CRIMEA-REPUBLIC
Crimea Republic,1913731,2020-06-09,446,330,5,UA,UA-CRIMEA-REPUBLIC
Crimea Republic,1913731,2020-06-10,457,338,5,UA,UA-CRIMEA-REPUBLIC
Crimea Republic,1913731,2020-06-11,458,350,7,UA,UA-CRIMEA-REPUBLIC
Crimea Republic,1913731,2020-06-12,483,357,7,UA,UA-CRIMEA-REPUBLIC
Crimea Republic,1913731,2020-06-13,490,361,7,UA,UA-CRIMEA-REPUBLIC
Crimea Republic,1913731,2020-06-14,512,362,7,UA,UA-CRIMEA-REPUBLIC
Crimea Republic,1913731,2020-06-15,539,363,7,UA,UA-CRIMEA-REPUBLIC
Crimea Republic,1913731,2020-06-16,546,367,7,UA,UA-CRIMEA-REPUBLIC
Crimea Republic,1913731,2020-06-17,561,381,7,UA,UA-CRIMEA-REPUBLIC
Crimea Republic,1913731,2020-06-18,575,391,7,UA,UA-CRIMEA-REPUBLIC
Crimea Republic,1913731,2020-06-19,575,392,7,UA,UA-CRIMEA-REPUBLIC
Crimea Republic,1913731,2020-06-20,590,403,7,UA,UA-CRIMEA-REPUBLIC
Crimea Republic,1913731,2020-06-21,595,403,7,UA,UA-CRIMEA-REPUBLIC
Dnipropetrovsk Oblast,3206477,2020-06-08,971,552,22,UA,UA-DNIPROPETROVSK-OBLAST
Dnipropetrovsk Oblast,3206477,2020-06-09,971,629,22,UA,UA-DNIPROPETROVSK-OBLAST
Dnipropetrovsk Oblast,3206477,2020-06-10,973,673,22,UA,UA-DNIPROPETROVSK-OBLAST
Dnipropetrovsk Oblast,3206477,2020-06-11,981,695,22,UA,UA-DNIPROPETROVSK-OBLAST
Dnipropetrovsk Oblast,3206477,2020-06-12,983,702,22,UA,UA-DNIPROPETROVSK-OBLAST
Dnipropetrovsk Oblast,3206477,2020-06-13,990,721,22,UA,UA-DNIPROPETROVSK-OBLAST
Dnipropetrovsk Oblast,3206477,2020-06-14,998,721,22,UA,UA-DNIPROPETROVSK-OBLAST
Dnipropetrovsk Oblast,3206477,2020-06-15,998,721,22,UA,UA-DNIPROPETROVSK-OBLAST
Dnipropetrovsk Oblast,3206477,2020-06-16,1004,724,22,UA,UA-DNIPROPETROVSK-OBLAST
Dnipropetrovsk Oblast,3206477,2020-06-17,1012,726,23,UA,UA-DNIPROPETROVSK-OBLAST
Dnipropetrovsk Oblast,3206477,2020-06-18,1021,739,23,UA,UA-DNIPROPETROVSK-OBLAST
Dnipropetrovsk Oblast,3206477,2020-06-19,1021,758,23,UA,UA-DNIPROPETROVSK-OBLAST
Dnipropetrovsk Oblast,3206477,2020-06-20,1036,776,23,UA,UA-DNIPROPETROVSK-OBLAST
Dnipropetrovsk Oblast,3206477,2020-06-21,1042,776,23,UA,UA-DNIPROPETROVSK-OBLAST
Donetsk Oblast,4165901,2020-06-08,231,121,6,UA,UA-DONETSK-OBLAST
Donetsk Oblast,4165901,2020-06-09,235,121,6,UA,UA-DONETSK-OBLAST
Donetsk Oblast,4165901,2020-06-10,246,121,6,UA,UA-DONETSK-OBLAST
Donetsk Oblast,4165901,2020-06-11,269,122,6,UA,UA-DONETSK-OBLAST
Donetsk Oblast,4165901,2020-06-12,279,122,6,UA,UA-DONETSK-OBLAST
Donetsk Oblast,4165901,2020-06-13,290,128,6,UA,UA-DONETSK-OBLAST
Donetsk Oblast,4165901,2020-06-14,292,128,6,UA,UA-DONETSK-OBLAST
Donetsk Oblast,4165901,2020-06-15,334,128,6,UA,UA-DONETSK-OBLAST
Donetsk Oblast,4165901,2020-06-16,338,128,6,UA,UA-DONETSK-OBLAST
Donetsk Oblast,4165901,2020-06-17,338,130,8,UA,UA-DONETSK-OBLAST
Donetsk Oblast,4165901,2020-06-18,349,140,8,UA,UA-DONETSK-OBLAST
Donetsk Oblast,4165901,2020-06-19,350,142,8,UA,UA-DONETSK-OBLAST
Donetsk Oblast,4165901,2020-06-20,355,145,8,UA,UA-DONETSK-OBLAST
Donetsk Oblast,4165901,2020-06-21,362,145,8,UA,UA-DONETSK-OBLAST
Ivano-Frankivsk Oblast,1373252,2020-06-08,1582,947,88,UA,UA-IVANO-FRANKIVSK-OBLAST
Ivano-Frankivsk Oblast,1373252,2020-06-09,1602,992,88,UA,UA-IVANO-FRANKIVSK-OBLAST
Ivano-Frankivsk Oblast,1373252,2020-06-10,1622,992,89,UA,UA-IVANO-FRANKIVSK-OBLAST
Ivano-Frankivsk Oblast,1373252,2020-06-11,1649,992,90,UA,UA-IVANO-FRANKIVSK-OBLAST
Ivano-Frankivsk Oblast,1373252,2020-06-12,1669,1001,90,UA,UA-IVANO-FRANKIVSK-OBLAST
Ivano-Frankivsk Oblast,1373252,2020-06-13,1695,1001,90,UA,UA-IVANO-FRANKIVSK-OBLAST
Ivano-Frankivsk Oblast,1373252,2020-06-14,1728,1013,90,UA,UA-IVANO-FRANKIVSK-OBLAST
Ivano-Frankivsk Oblast,1373252,2020-06-15,1766,1030,91,UA,UA-IVANO-FRANKIVSK-OBLAST
Ivano-Frankivsk Oblast,1373252,2020-06-16,1809,1037,91,UA,UA-IVANO-FRANKIVSK-OBLAST
Ivano-Frankivsk Oblast,1373252,2020-06-17,1849,1044,92,UA,UA-IVANO-FRANKIVSK-OBLAST
Ivano-Frankivsk Oblast,1373252,2020-06-18,1893,1059,92,UA,UA-IVANO-FRANKIVSK-OBLAST
Ivano-Frankivsk Oblast,1373252,2020-06-19,1940,1064,94,UA,UA-IVANO-FRANKIVSK-OBLAST
Ivano-Frankivsk Oblast,1373252,2020-06-20,1981,1071,95,UA,UA-IVANO-FRANKIVSK-OBLAST
Ivano-Frankivsk Oblast,1373252,2020-06-21,2015,1071,96,UA,UA-IVANO-FRANKIVSK-OBLAST
Kharkiv Oblast,2675598,2020-06-08,1287,573,52,UA,UA-KHARKIV-OBLAST
Kharkiv Oblast,2675598,2020-06-09,1305,597,54,UA,UA-KHARKIV-OBLAST
Kharkiv Oblast,2675598,2020-06-10,1338,626,54,UA,UA-KHARKIV-OBLAST
Kharkiv Oblast,2675598,2020-06-11,1374,657,55,UA,UA-KHARKIV-OBLAST
Kharkiv Oblast,2675598,2020-06-12,1426,692,57,UA,UA-KHARKIV-OBLAST
Kharkiv Oblast,2675598,2020-06-13,1482,698,57,UA,UA-KHARKIV-OBLAST
Kharkiv Oblast,2675598,2020-06-14,1521,715,58,UA,UA-KHARKIV-OBLAST
Kharkiv Oblast,2675598,2020-06-15,1542,741,59,UA,UA-KHARKIV-OBLAST
Kharkiv Oblast,2675598,2020-06-16,1595,752,62,UA,UA-KHARKIV-OBLAST
Kharkiv Oblast,2675598,2020-06-17,1652,774,62,UA,UA-KHARKIV-OBLAST
Kharkiv Oblast,2675598,2020-06-18,1707,786,66,UA,UA-KHARKIV-OBLAST
