state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Aguascalientes,1312544,2020-05-21,558,384,21,MX,MX-AGUASCALIENTES
Aguascalientes,1312544,2020-05-22,586,402,21,MX,MX-AGUASCALIENTES
Baja California,3315766,2020-05-21,3603,2536,606,MX,MX-BAJA-CALIFORNIA
Baja California,3315766,2020-05-22,3780,2603,637,MX,MX-BAJA-CALIFORNIA
Baja California Sur,712029,2020-05-21,476,397,28,MX,MX-BAJA-CALIFORNIA-SUR
Baja California Sur,712029,2020-05-22,502,406,29,MX,MX-BAJA-CALIFORNIA-SUR
Campeche,899931,2020-05-21,328,205,48,MX,MX-CAMPECHE
Campeche,899931,2020-05-22,354,210,50,MX,MX-CAMPECHE
Chiapas,5217908,2020-05-21,808,420,53,MX,MX-CHIAPAS
Chiapas,5217908,2020-05-22,895,441,64,MX,MX-CHIAPAS
Chihuahua,3556574,2020-05-21,1014,693,208,MX,MX-CHIHUAHUA
Chihuahua,3556574,2020-05-22,1093,746,224,MX,MX-CHIHUAHUA
Mexico City,8918653,2020-05-21,15844,11208,1618,MX,MX-CIUDAD-DE-MEXICO
Mexico City,8918653,2020-05-22,16758,11665,1754,MX,MX-CIUDAD-DE-MEXICO
Coahuila,2954915,2020-05-21,749,564,59,MX,MX-COAHUILA
Coahuila,2954915,2020-05-22,772,578,62,MX,MX-COAHUILA
Colima,711235,2020-05-21,83,39,10,MX,MX-COLIMA
Colima,711235,2020-05-22,91,40,12,MX,MX-COLIMA
Durango,1754754,2020-05-21,189,116,20,MX,MX-DURANGO
Durango,1754754,2020-05-22,194,125,23,MX,MX-DURANGO
Guanajuato,5853677,2020-05-21,821,481,80,MX,MX-GUANAJUATO
Guanajuato,5853677,2020-05-22,897,517,84,MX,MX-GUANAJUATO
Guerrero,3533251,2020-05-21,927,572,136,MX,MX-GUERRERO
Guerrero,3533251,2020-05-22,984,599,147,MX,MX-GUERRERO
Hidalgo,2858359,2020-05-21,1034,493,180,MX,MX-HIDALGO
Hidalgo,2858359,2020-05-22,1097,510,193,MX,MX-HIDALGO
Jalisco,7844830,2020-05-21,967,593,95,MX,MX-JALISCO
Jalisco,7844830,2020-05-22,1028,620,96,MX,MX-JALISCO
México,16187608,2020-05-21,9346,7365,563,MX,MX-MEXICO
México,16187608,2020-05-22,9661,7663,622,MX,MX-MEXICO
Michoacan,4584471,2020-05-21,1094,665,97,MX,MX-MICHOACAN
Michoacan,4584471,2020-05-22,1163,703,107,MX,MX-MICHOACAN
Morelos,1903811,2020-05-21,1115,675,205,MX,MX-MORELOS
Morelos,1903811,2020-05-22,1164,704,210,MX,MX-MORELOS
Nayarit,1181050,2020-05-21,349,207,37,MX,MX-NAYARIT
Nayarit,1181050,2020-05-22,362,212,38,MX,MX-NAYARIT
Nuevo León,5119504,2020-05-21,1016,617,56,MX,MX-NUEVO-LEON
Nuevo León,5119504,2020-05-22,1036,645,58,MX,MX-NUEVO-LEON
Oaxaca,3967889,2020-05-21,743,331,84,MX,MX-OAXACA
Oaxaca,3967889,2020-05-22,808,360,89,MX,MX-OAXACA
Puebla,6168883,2020-05-21,1702,1038,231,MX,MX-PUEBLA
Puebla,6168883,2020-05-22,1803,1096,244,MX,MX-PUEBLA
Querétaro,2038372,2020-05-21,544,213,58,MX,MX-QUERETARO
Querétaro,2038372,2020-05-22,592,247,61,MX,MX-QUERETARO
Quintana Roo,1501562,2020-05-21,1392,923,271,MX,MX-QUINTANA-ROO
Quintana Roo,1501562,2020-05-22,1450,949,280,MX,MX-QUINTANA-ROO
San Luis Potosí,2717820,2020-05-21,524,310,24,MX,MX-SAN-LUIS-POTOSI
San Luis Potosí,2717820,2020-05-22,558,339,25,MX,MX-SAN-LUIS-POTOSI
Sinaloa,2966321,2020-05-21,2161,1476,326,MX,MX-SINALOA
Sinaloa,2966321,2020-05-22,2243,1525,354,MX,MX-SINALOA
Sonora,2850330,2020-05-21,1020,712,49,MX,MX-SONORA
Sonora,2850330,2020-05-22,1124,774,53,MX,MX-SONORA
Tabasco,2395272,2020-05-21,2716,1695,346,MX,MX-TABASCO
Tabasco,2395272,2020-05-22,2824,1796,361,MX,MX-TABASCO
Tamaulipas,3441698,2020-05-21,1077,765,74,MX,MX-TAMAULIPAS
Tamaulipas,3441698,2020-05-22,1105,791,76,MX,MX-TAMAULIPAS
Tlaxcala,1272847,2020-05-21,650,335,109,MX,MX-TLAXCALA
Tlaxcala,1272847,2020-05-22,677,363,117,MX,MX-TLAXCALA
Veracruz,8112505,2020-05-21,2288,1460,274,MX,MX-VERACRUZ
Veracruz,8112505,2020-05-22,2430,1548,292,MX,MX-VERACRUZ
Yucatán,2097175,2020-05-21,1244,797,97,MX,MX-YUCATAN
Yucatán,2097175,2020-05-22,1323,835,100,MX,MX-YUCATAN
Zacatecas,1579209,2020-05-21,212,134,27,MX,MX-ZACATECAS
Zacatecas,1579209,2020-05-22,213,140,27,MX,MX-ZACATECAS
