reportDate,ags,community_name,population_number,population_density,stateCode,cases,deaths,recovered,cases_day,recovered_day,deaths_day
04-03-2020,1001,Flensburg,89504,1577,DE-SH,0,,,,,
05-03-2020,1001,Flensburg,89504,1577,DE-SH,0,,,0,,
06-03-2020,1001,Flensburg,89504,1577,DE-SH,0,,,0,,
07-03-2020,1001,Flensburg,89504,1577,DE-SH,0,,,0,,
08-03-2020,1001,Flensburg,89504,1577,DE-SH,0,,,0,,
09-03-2020,1001,Flensburg,89504,1577,DE-SH,0,,,0,,
10-03-2020,1001,Flensburg,89504,1577,DE-SH,0,,,0,,
11-03-2020,1001,Flensburg,89504,1577,DE-SH,0,,,0,,
12-03-2020,1001,Flensburg,89504,1577,DE-SH,0,,,0,,
13-03-2020,1001,Flensburg,89504,1577,DE-SH,1,,,1,,
14-03-2020,1001,Flensburg,89504,1577,DE-SH,1,,,0,,
15-03-2020,1001,Flensburg,89504,1577,DE-SH,4,,,3,,
16-03-2020,1001,Flensburg,89504,1577,DE-SH,6,,,2,,
17-03-2020,1001,Flensburg,89504,1577,DE-SH,7,,,1,,
18-03-2020,1001,Flensburg,89504,1577,DE-SH,7,,,0,,
19-03-2020,1001,Flensburg,89504,1577,DE-SH,8,,,1,,
20-03-2020,1001,Flensburg,89504,1577,DE-SH,10,,,2,,
21-03-2020,1001,Flensburg,89504,1577,DE-SH,13,,,3,,
22-03-2020,1001,Flensburg,89504,1577,DE-SH,15,,,2,,
23-03-2020,1001,Flensburg,89504,1577,DE-SH,15,,,0,,
24-03-2020,1001,Flensburg,89504,1577,DE-SH,15,,,0,,
25-03-2020,1001,Flensburg,89504,1577,DE-SH,16,,,1,,
26-03-2020,1001,Flensburg,89504,1577,DE-SH,18,,,2,,
27-03-2020,1001,Flensburg,89504,1577,DE-SH,21,0,,3,,
28-03-2020,1001,Flensburg,89504,1577,DE-SH,21,0,,0,,0
29-03-2020,1001,Flensburg,89504,1577,DE-SH,21,,,0,,
30-03-2020,1001,Flensburg,89504,1577,DE-SH,21,0,,0,,
31-03-2020,1001,Flensburg,89504,1577,DE-SH,22,0,,1,,0
01-04-2020,1001,Flensburg,89504,1577,DE-SH,23,0,8,1,,0
02-04-2020,1001,Flensburg,89504,1577,DE-SH,25,0,8,2,0,0
03-04-2020,1001,Flensburg,89504,1577,DE-SH,25,0,8,0,0,0
04-04-2020,1001,Flensburg,89504,1577,DE-SH,27,0,10,2,2,0
05-04-2020,1001,Flensburg,89504,1577,DE-SH,28,1,10,1,0,1
06-04-2020,1001,Flensburg,89504,1577,DE-SH,28,1,10,0,0,0
07-04-2020,1001,Flensburg,89504,1577,DE-SH,28,1,11,0,1,0
08-04-2020,1001,Flensburg,89504,1577,DE-SH,30,1,11,2,0,0
09-04-2020,1001,Flensburg,89504,1577,DE-SH,30,1,16,0,5,0
10-04-2020,1001,Flensburg,89504,1577,DE-SH,31,1,16,1,0,0
11-04-2020,1001,Flensburg,89504,1577,DE-SH,32,1,16,1,0,0
12-04-2020,1001,Flensburg,89504,1577,DE-SH,32,1,16,0,0,0
13-04-2020,1001,Flensburg,89504,1577,DE-SH,32,1,17,0,1,0
14-04-2020,1001,Flensburg,89504,1577,DE-SH,32,1,20,0,3,0
15-04-2020,1001,Flensburg,89504,1577,DE-SH,32,1,20,0,0,0
16-04-2020,1001,Flensburg,89504,1577,DE-SH,32,1,26,0,6,0
17-04-2020,1001,Flensburg,89504,1577,DE-SH,32,1,27,0,1,0
18-04-2020,1001,Flensburg,89504,1577,DE-SH,32,1,27,0,0,0
19-04-2020,1001,Flensburg,89504,1577,DE-SH,32,1,27,0,0,0
20-04-2020,1001,Flensburg,89504,1577,DE-SH,32,2,28,0,1,1
21-04-2020,1001,Flensburg,89504,1577,DE-SH,32,2,28,0,0,0
22-04-2020,1001,Flensburg,89504,1577,DE-SH,32,2,28,0,0,0
23-04-2020,1001,Flensburg,89504,1577,DE-SH,32,2,28,0,0,0
04-03-2020,1002,Kiel,247548,2086,DE-SH,0,,,,,
05-03-2020,1002,Kiel,247548,2086,DE-SH,0,,,0,,
06-03-2020,1002,Kiel,247548,2086,DE-SH,0,,,0,,
07-03-2020,1002,Kiel,247548,2086,DE-SH,0,,,0,,
08-03-2020,1002,Kiel,247548,2086,DE-SH,0,,,0,,
