state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Azad Jammu and Kashmir,4045366,2020-06-11,488,219,9,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-12,534,237,10,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-13,574,242,11,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-14,604,250,12,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-15,647,254,13,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-16,663,264,13,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-17,703,290,13,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-18,740,302,15,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-19,769,312,15,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-20,803,317,17,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-21,813,336,19,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-22,845,348,20,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-23,869,350,22,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-24,892,366,23,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-25,930,390,25,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-26,962,395,25,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-27,1003,446,28,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-28,1027,465,28,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-29,1049,520,28,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-06-30,1065,539,28,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-01,1093,550,30,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-02,1135,557,32,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-03,1160,686,33,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-04,1214,686,34,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-05,1288,688,35,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-06,1342,690,36,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-07,1383,741,36,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-08,1419,788,40,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-09,1459,828,40,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-10,1485,860,41,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-11,1532,894,42,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-12,1564,942,43,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-13,1599,978,44,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-14,1655,1029,45,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-15,1688,1049,46,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-16,1771,1061,46,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-17,1808,1077,46,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-18,1840,1094,46,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-19,1888,1174,47,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-20,1915,1201,47,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-21,1922,1254,47,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-22,1937,1275,47,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-23,1961,1328,48,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-24,1989,1361,49,PK,PK-AZAD-JAMMU-AND-KASHMIR
Azad Jammu and Kashmir,4045366,2020-07-25,2012,1409,49,PK,PK-AZAD-JAMMU-AND-KASHMIR
