state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Antofagasta,607534,2020-05-21,1778,0,17,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-05-22,1841,0,17,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-05-23,1897,0,21,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-05-24,1947,0,21,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-05-25,2015,0,21,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-05-26,2063,0,23,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-05-27,2137,0,25,CL,CL-ANTOFAGASTA
Antofagasta,607534,2020-05-28,2137,0,25,CL,CL-ANTOFAGASTA
Araucanía,957224,2020-05-21,1715,0,44,CL,CL-ARAUCANIA
Araucanía,957224,2020-05-22,1737,0,45,CL,CL-ARAUCANIA
Araucanía,957224,2020-05-23,1774,0,45,CL,CL-ARAUCANIA
Araucanía,957224,2020-05-24,1808,0,45,CL,CL-ARAUCANIA
Araucanía,957224,2020-05-25,1857,0,45,CL,CL-ARAUCANIA
Araucanía,957224,2020-05-26,1883,0,45,CL,CL-ARAUCANIA
Araucanía,957224,2020-05-27,1916,0,45,CL,CL-ARAUCANIA
Araucanía,957224,2020-05-28,1916,0,45,CL,CL-ARAUCANIA
Arica y Parinacota,226068,2020-05-21,453,0,7,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-05-22,471,0,7,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-05-23,482,0,7,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-05-24,498,0,7,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-05-25,513,0,7,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-05-26,522,0,7,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-05-27,541,0,7,CL,CL-ARICA-Y-PARINACOTA
Arica y Parinacota,226068,2020-05-28,541,0,7,CL,CL-ARICA-Y-PARINACOTA
Atacama,286168,2020-05-21,168,0,0,CL,CL-ATACAMA
Atacama,286168,2020-05-22,175,0,0,CL,CL-ATACAMA
Atacama,286168,2020-05-23,182,0,0,CL,CL-ATACAMA
Atacama,286168,2020-05-24,182,0,0,CL,CL-ATACAMA
Atacama,286168,2020-05-25,185,0,0,CL,CL-ATACAMA
Atacama,286168,2020-05-26,188,0,0,CL,CL-ATACAMA
Atacama,286168,2020-05-27,197,0,0,CL,CL-ATACAMA
Atacama,286168,2020-05-28,197,0,0,CL,CL-ATACAMA
Aysén,103158,2020-05-21,8,0,0,CL,CL-AYSEN
Aysén,103158,2020-05-22,8,0,0,CL,CL-AYSEN
Aysén,103158,2020-05-23,8,0,0,CL,CL-AYSEN
Aysén,103158,2020-05-24,8,0,0,CL,CL-AYSEN
Aysén,103158,2020-05-25,10,0,0,CL,CL-AYSEN
Aysén,103158,2020-05-26,12,0,0,CL,CL-AYSEN
Aysén,103158,2020-05-27,12,0,0,CL,CL-AYSEN
Aysén,103158,2020-05-28,12,0,0,CL,CL-AYSEN
Biobío,1556805,2020-05-21,1263,0,9,CL,CL-BIOBIO
Biobío,1556805,2020-05-22,1311,0,10,CL,CL-BIOBIO
Biobío,1556805,2020-05-23,1354,0,10,CL,CL-BIOBIO
Biobío,1556805,2020-05-24,1414,0,10,CL,CL-BIOBIO
Biobío,1556805,2020-05-25,1458,0,10,CL,CL-BIOBIO
Biobío,1556805,2020-05-26,1502,0,10,CL,CL-BIOBIO
Biobío,1556805,2020-05-27,1565,0,10,CL,CL-BIOBIO
Biobío,1556805,2020-05-28,1565,0,10,CL,CL-BIOBIO
Coquimbo,757586,2020-05-21,268,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-05-22,281,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-05-23,294,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-05-24,323,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-05-25,338,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-05-26,384,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-05-27,455,0,2,CL,CL-COQUIMBO
Coquimbo,757586,2020-05-28,455,0,2,CL,CL-COQUIMBO
Los Lagos,828708,2020-05-21,693,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-05-22,717,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-05-23,727,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-05-24,736,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-05-25,763,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-05-26,781,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-05-27,791,0,13,CL,CL-LOS-LAGOS
Los Lagos,828708,2020-05-28,791,0,13,CL,CL-LOS-LAGOS
Los Rios,384837,2020-05-21,258,0,6,CL,CL-LOS-RIOS
Los Rios,384837,2020-05-22,262,0,6,CL,CL-LOS-RIOS
Los Rios,384837,2020-05-23,274,0,6,CL,CL-LOS-RIOS
Los Rios,384837,2020-05-24,290,0,6,CL,CL-LOS-RIOS
Los Rios,384837,2020-05-25,297,0,6,CL,CL-LOS-RIOS
Los Rios,384837,2020-05-26,304,0,6,CL,CL-LOS-RIOS
Los Rios,384837,2020-05-27,309,0,6,CL,CL-LOS-RIOS
Los Rios,384837,2020-05-28,309,0,6,CL,CL-LOS-RIOS
Magallanes,166533,2020-05-21,987,0,18,CL,CL-MAGALLANES
Magallanes,166533,2020-05-22,992,0,18,CL,CL-MAGALLANES
Magallanes,166533,2020-05-23,997,0,18,CL,CL-MAGALLANES
Magallanes,166533,2020-05-24,1010,0,18,CL,CL-MAGALLANES
Magallanes,166533,2020-05-25,1016,0,18,CL,CL-MAGALLANES
Magallanes,166533,2020-05-26,1031,0,18,CL,CL-MAGALLANES
Magallanes,166533,2020-05-27,1037,0,18,CL,CL-MAGALLANES
Magallanes,166533,2020-05-28,1037,0,18,CL,CL-MAGALLANES
Maule,1044950,2020-05-21,731,0,15,CL,CL-MAULE
Maule,1044950,2020-05-22,782,0,15,CL,CL-MAULE
Maule,1044950,2020-05-23,823,0,15,CL,CL-MAULE
Maule,1044950,2020-05-24,892,0,15,CL,CL-MAULE
Maule,1044950,2020-05-25,953,0,15,CL,CL-MAULE
Maule,1044950,2020-05-26,1013,0,15,CL,CL-MAULE
Maule,1044950,2020-05-27,1066,0,15,CL,CL-MAULE
Maule,1044950,2020-05-28,1066,0,15,CL,CL-MAULE
Metropolitana de Santiago,7112808,2020-05-21,44641,0,388,CL,CL-METROPOLITANA
Metropolitana de Santiago,7112808,2020-05-22,48350,0,423,CL,CL-METROPOLITANA
Metropolitana de Santiago,7112808,2020-05-23,51399,0,455,CL,CL-METROPOLITANA
Metropolitana de Santiago,7112808,2020-05-24,54544,0,494,CL,CL-METROPOLITANA
Metropolitana de Santiago,7112808,2020-05-25,58930,0,529,CL,CL-METROPOLITANA
Metropolitana de Santiago,7112808,2020-05-26,62285,0,567,CL,CL-METROPOLITANA
Metropolitana de Santiago,7112808,2020-05-27,66011,0,595,CL,CL-METROPOLITANA
Metropolitana de Santiago,7112808,2020-05-28,66011,0,595,CL,CL-METROPOLITANA
Ñuble,480609,2020-05-21,1020,0,21,CL,CL-NUBLE
Ñuble,480609,2020-05-22,1025,0,21,CL,CL-NUBLE
Ñuble,480609,2020-05-23,1077,0,21,CL,CL-NUBLE
Ñuble,480609,2020-05-24,1102,0,21,CL,CL-NUBLE
Ñuble,480609,2020-05-25,1139,0,22,CL,CL-NUBLE
Ñuble,480609,2020-05-26,1147,0,22,CL,CL-NUBLE
Ñuble,480609,2020-05-27,1174,0,22,CL,CL-NUBLE
Ñuble,480609,2020-05-28,1174,0,22,CL,CL-NUBLE
O'Higgins,914555,2020-05-21,465,0,7,CL,CL-OHIGGINS
O'Higgins,914555,2020-05-22,492,0,8,CL,CL-OHIGGINS
O'Higgins,914555,2020-05-23,518,0,11,CL,CL-OHIGGINS
O'Higgins,914555,2020-05-24,554,0,11,CL,CL-OHIGGINS
O'Higgins,914555,2020-05-25,588,0,13,CL,CL-OHIGGINS
O'Higgins,914555,2020-05-26,654,0,13,CL,CL-OHIGGINS
O'Higgins,914555,2020-05-27,691,0,14,CL,CL-OHIGGINS
O'Higgins,914555,2020-05-28,691,0,14,CL,CL-OHIGGINS
Tarapaca,0,2020-05-21,1246,0,4,CL,CL-TARAPACA
Tarapaca,0,2020-05-22,1393,0,5,CL,CL-TARAPACA
Tarapaca,0,2020-05-23,1471,0,5,CL,CL-TARAPACA
Tarapaca,0,2020-05-24,1564,0,7,CL,CL-TARAPACA
Tarapaca,0,2020-05-25,1630,0,7,CL,CL-TARAPACA
Tarapaca,0,2020-05-26,1737,0,8,CL,CL-TARAPACA
Tarapaca,0,2020-05-27,1811,0,11,CL,CL-TARAPACA
Tarapaca,0,2020-05-28,1811,0,11,CL,CL-TARAPACA
Valparaíso,1815902,2020-05-21,1887,0,38,CL,CL-VALPARAISO
Valparaíso,1815902,2020-05-22,2020,0,40,CL,CL-VALPARAISO
Valparaíso,1815902,2020-05-23,2116,0,44,CL,CL-VALPARAISO
Valparaíso,1815902,2020-05-24,2230,0,48,CL,CL-VALPARAISO
Valparaíso,1815902,2020-05-25,2305,0,53,CL,CL-VALPARAISO
Valparaíso,1815902,2020-05-26,2455,0,57,CL,CL-VALPARAISO
Valparaíso,1815902,2020-05-27,2576,0,58,CL,CL-VALPARAISO
Valparaíso,1815902,2020-05-28,2576,0,58,CL,CL-VALPARAISO
other,0,2020-05-21,0,23992,0,CL,CL-XX
other,0,2020-05-22,0,25342,0,CL,CL-XX
other,0,2020-05-23,0,26546,0,CL,CL-XX
other,0,2020-05-24,0,28148,0,CL,CL-XX
other,0,2020-05-25,0,29302,0,CL,CL-XX
other,0,2020-05-26,0,30915,0,CL,CL-XX
other,0,2020-05-27,0,33540,0,CL,CL-XX
other,0,2020-05-28,0,33540,0,CL,CL-XX
