state_name_en,population_number,reportDate,cases,recovered,deaths,countryCode,stateCode
Adygea Republic,453376,2020-06-08,1069,606,10,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-09,1115,618,10,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-10,1158,651,12,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-11,1213,674,12,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-12,1251,708,12,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-13,1278,752,12,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-14,1311,771,12,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-15,1340,796,12,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-16,1389,817,12,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-17,1415,858,12,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-18,1446,896,12,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-19,1484,917,12,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-20,1511,946,12,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-21,1541,987,12,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-22,1569,1002,12,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-23,1607,1028,12,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-24,1647,1096,12,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-25,1682,1119,12,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-26,1712,1149,12,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-27,1746,1182,12,RU,RU-ADYGEA-REPUBLIC
Adygea Republic,453376,2020-06-28,1795,1239,12,RU,RU-ADYGEA-REPUBLIC
Altai Krai,2350080,2020-06-08,2390,1107,14,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-09,2458,1197,15,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-10,2524,1314,16,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-11,2593,1407,19,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-12,2659,1569,19,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-13,2726,1607,19,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-14,2795,1667,19,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-15,2867,1715,19,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-16,2939,1892,21,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-17,3010,1992,22,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-18,3078,2102,24,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-19,3153,2210,24,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-20,3226,2292,25,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-21,3298,2309,27,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-22,3371,2359,27,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-23,3445,2470,29,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-24,3522,2540,29,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-25,3600,2594,29,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-26,3676,2677,30,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-27,3753,2697,31,RU,RU-ALTAI-KRAI
Altai Krai,2350080,2020-06-28,3831,2727,31,RU,RU-ALTAI-KRAI
Altai Republic,218063,2020-06-08,180,101,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-09,190,104,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-10,204,109,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-11,212,111,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-12,220,124,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-13,243,126,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-14,256,128,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-15,275,135,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-16,279,144,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-17,300,145,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-18,334,151,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-19,336,162,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-20,396,171,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-21,421,178,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-22,436,184,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-23,466,190,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-24,483,207,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-25,511,215,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-26,522,230,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-27,561,247,0,RU,RU-ALTAI-REPUBLIC
Altai Republic,218063,2020-06-28,597,256,0,RU,RU-ALTAI-REPUBLIC
Amur Oblast,798424,2020-06-08,748,252,5,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-09,796,261,5,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-10,835,296,5,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-11,873,325,5,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-12,914,345,5,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-13,973,350,5,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-14,1018,359,6,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-15,1062,371,6,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-16,1100,409,6,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-17,1138,449,7,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-18,1181,480,7,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-19,1230,491,7,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-20,1283,515,7,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-21,1340,520,7,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-22,1399,540,7,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-23,1444,575,7,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-24,1490,597,7,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-25,1528,609,9,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-26,1572,667,9,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-27,1610,690,9,RU,RU-AMUR-OBLAST
Amur Oblast,798424,2020-06-28,1651,702,9,RU,RU-AMUR-OBLAST
Arkhangelsk Oblast,1155028,2020-06-08,2989,858,10,RU,RU-ARKHANGELSK-OBLAST
Arkhangelsk Oblast,1155028,2020-06-09,3085,897,10,RU,RU-ARKHANGELSK-OBLAST
Arkhangelsk Oblast,1155028,2020-06-10,3217,944,13,RU,RU-ARKHANGELSK-OBLAST
Arkhangelsk Oblast,1155028,2020-06-11,3362,985,15,RU,RU-ARKHANGELSK-OBLAST
Arkhangelsk Oblast,1155028,2020-06-12,3474,1028,16,RU,RU-ARKHANGELSK-OBLAST
Arkhangelsk Oblast,1155028,2020-06-13,3587,1043,16,RU,RU-ARKHANGELSK-OBLAST
