Wappen;Stadt;BL;Regierungs­bezirk[4];UZ;Flächeinkm²;tEW1939[5];tEW1950[6];tEW1970[7];tEW1990[8];tEW2011[9];EWjetzt;Bev.-dichte(EW/km²);Lagekarte
Wappen der Stadt Aachen;Aachen[1](50° 47′ N, 6° 5′ O);Nordrhein-Westfalen NW;Köln;AC, MON;160,85;162,2;129,8;175,5;239,2;260,5;247.380 (2018);1538;Lage der Stadt Aachen in Nordrhein-Westfalen
Wappen der Stadt Amberg;Amberg(49° 27′ N, 11° 51′ O);Bayern BY;Oberpfalz;AM;50,14;31,8;37,9;41,3;42,9;43,5;41.970 (2018);837;Lage der Stadt Amberg in Bayern
Wappen der Stadt Ansbach;Ansbach(49° 18′ N, 10° 34′ O);Bayern BY;Mittelfranken;AN;99,91;26,0;33,2;33,2;37,6;40,3;41.847 (2018);419;Lage der Stadt Ansbach in Bayern
Wappen der Stadt Aschaffenburg;Aschaffenburg(49° 59′ N, 9° 9′ O);Bayern BY;Unterfranken;AB;62,47;45,4;45,5;55,1;63,6;68,8;70.527 (2018);1129;Lage der Stadt Aschaffenburg in Bayern
Wappen der Stadt Augsburg;Augsburg(48° 22′ N, 10° 54′ O);Bayern BY;Schwaben;A;146,84;185,4;185,2;213,2;254,3;266,6;295.135 (2018);2010;Lage der Stadt Augsburg in Bayern
Wappen der Stadt Baden-Baden;Baden-Baden(48° 46′ N, 8° 14′ O);Baden-Württemberg BW;Karlsruhe;BAD;140,21;33,2;36,6;37,2;51,5;54,5;55.123 (2018);393;Lage der Stadt Baden-Baden in Baden-Württemberg
Wappen der Stadt Bamberg;Bamberg(49° 54′ N, 10° 54′ O);Bayern BY;Oberfranken;BA;54,62;59,5;76,2;70,4;70,2;70,1;77.592 (2018);1420;Lage der Stadt Bamberg in Bayern
Wappen der Stadt Bayreuth;Bayreuth(49° 57′ N, 11° 35′ O);Bayern BY;Oberfranken;BT;66,93;45,0;58,8;64,2;72,0;73,1;74.657 (2018);1115;Lage der Stadt Bayreuth in Bayern
Wappen der Stadt Berlin;Berlin(52° 31′ N, 13° 24′ O);Berlin B;–;B;891,69;4338,8;3336,0;3200,7;3420,6;3501,9;3.644.826;3948;Karte der Stadt Berlin
Wappen der Stadt Bielefeld;Bielefeld(52° 1′ N, 8° 32′ O);Nordrhein-Westfalen NW;Detmold;BI;258,82;129,5;153,6;168,6;317,2;323,4;333.786 (2018);1290;Lage der Stadt Bielefeld in Nordrhein-Westfalen
Wappen der Stadt Bochum;Bochum(51° 29′ N, 7° 13′ O);Nordrhein-Westfalen NW;Arnsberg;BO, WAT;145,66;305,5;289,8;343,8;395,1;374,0;364.628 (2018);2503;Lage der Stadt Bochum in Nordrhein-Westfalen
Wappen der Stadt Bonn;Bonn(50° 44′ N, 7° 6′ O);Nordrhein-Westfalen NW;Köln;BN;141,06;100,8;115,4;275,7;289,5;327,9;327.258 (2018);2320;Lage der Stadt Bonn in Nordrhein-Westfalen
Wappen der Stadt Bottrop;Bottrop(51° 31′ N, 6° 55′ O);Nordrhein-Westfalen NW;Münster;BOT;100,61;83,4;93,3;106,2;118,2;116,4;117.383 (2018);1167;Lage der Stadt Bottrop in Nordrhein-Westfalen
Wappen der Stadt Brandenburg an der Havel;Brandenburg an der Havel(52° 25′ N, 12° 34′ O);Brandenburg BB;–;BRB;229,71;83,7;82,2;93,7;90,4;71,5;72.124 (2018);314;Lage der Stadt Brandenburg an der Havel in Brandenburg
Wappen der Stadt Braunschweig;Braunschweig(52° 16′ N, 10° 31′ O);Niedersachsen NI;–;BS;192,18;196,1;223,8;223,3;257,6;250,6;248.292 (2018);1292;Lage der Stadt Braunschweig in Niedersachsen
Wappen der Stadt Bremen;Bremen(53° 5′ N, 8° 48′ O);Bremen HB;–;HB;325,56;424,1;444,5;592,5;548,9;548,3;569.352 (2018);1749;Lage der Stadt Bremen in der Freien Hansestadt Bremen
Wappen der Stadt Bremerhaven;Bremerhaven[10](53° 33′ N, 8° 35′ O);Bremen HB;–;HB;93,82;112,8;114,1;142,9;129,9;113;113.634 (2018);1211;Lage der Stadt Bremerhaven in der Freien Hansestadt Bremen
Wappen der Stadt Chemnitz;Chemnitz[11](50° 50′ N, 12° 55′ O);Sachsen SN;–;C;221,05;337,6;293,4;299,3;296,3;243,2;247.237 (2018);1118;Lage der Stadt Chemnitz in Sachsen
Wappen der Stadt Coburg;Coburg(50° 16′ N, 10° 58′ O);Bayern BY;Oberfranken;CO, NEC;48,29;32,6;44,9;42,7;44,2;40,9;41.249 (2018);854;Lage der Stadt Coburg in Bayern
Wappen der Stadt Cottbus;Cottbus(51° 46′ N, 14° 20′ O);Brandenburg BB;–;CB;165,15;55,5;60,9;82,8;126,4;102,1;100.219 (2018);607;Lage der Stadt Cottbus in Brandenburg
Wappen der Stadt Darmstadt;Darmstadt(49° 52′ N, 8° 39′ O);Hessen HE;Darmstadt;DA;122,09;115,2;94,8;141,8;138,3;149,1;159.207 (2018);1304;Lage der Stadt Darmstadt in Hessen
Wappen der Stadt Delmenhorst;Delmenhorst(53° 3′ N, 8° 38′ O);Niedersachsen NI;–;DEL;62,36;38,3;57,3;63,9;75,0;74,5;77.607 (2018);1244;Lage der Stadt Delmenhorst in Niedersachsen
Wappen der Stadt Dessau-Roßlau;Dessau-Roßlau[12](51° 52′ N, 12° 15′ O);Sachsen-Anhalt ST;–;DE, RSL;244,74;119,1;92,0;98,3;97,8;85,8;81.237 (2018);332;Lage der Stadt Dessau-Roßlau in Sachsen-Anhalt
Wappen der Stadt Dortmund;Dortmund(51° 31′ N, 7° 28′ O);Nordrhein-Westfalen NW;Arnsberg;DO;280,71;542,3;507,3;640,6;597,4;581,0;587.010 (2018);2091;Lage der Stadt Dortmund in Nordrhein-Westfalen
Wappen der Stadt Dresden;Dresden(51° 3′ N, 13° 44′ O);Sachsen SN;–;DD;328,48;630,2;494,2;501,5;493,2;529,8;554.649 (2018);1689;Lage der Stadt Dresden in Sachsen
Wappen der Stadt Duisburg;Duisburg(51° 26′ N, 6° 46′ O);Nordrhein-Westfalen NW;Düsseldorf;DU;232,8;434,6;410,8;452,7;533,6;488,0;498.590 (2018);2142;Lage der Stadt Duisburg in Nordrhein-Westfalen
Wappen der Stadt Düsseldorf;Düsseldorf(51° 14′ N, 6° 47′ O);Nordrhein-Westfalen NW;Düsseldorf;D;217,41;541,4;500,5;661,0;575,1;592,4;619.294 (2018);2848;Lage der Stadt Düsseldorf in Nordrhein-Westfalen
Wappen der Stadt Eisenach;Eisenach(50° 58′ N, 10° 19′ O);Thüringen TH;–;EA;104,17;53,1;51,8;50,9;45,9;42,7;42.370 (2018);407;Lage der Stadt Eisenach in Thüringen
Wappen der Stadt Emden;Emden(53° 22′ N, 7° 12′ O);Niedersachsen NI;–;EMD;112,36;35,1;37,3;48,6;50,4;51,5;50.195 (2018);447;Lage der Stadt Emden in Niedersachsen
Wappen der Stadt Erfurt;Erfurt(50° 59′ N, 11° 2′ O);Thüringen TH;–;EF;269,91;165,6;188,7;196,0;210,5;206,4;213.699 (2018);792;Lage der Stadt Erfurt in Thüringen
Wappen der Stadt Erlangen;Erlangen(49° 36′ N, 11° 0′ O);Bayern BY;Mittelfranken;ER;76,95;36,0;50,0;85,1;101,5;106,3;111.962 (2018);1455;Lage der Stadt Erlangen in Bayern
Wappen der Stadt Essen;Essen(51° 27′ N, 7° 1′ O);Nordrhein-Westfalen NW;Düsseldorf;E;210,34;666,7;605,4;696,4;626,1;573,5;583.109 (2018);2772;Lage der Stadt Essen in Nordrhein-Westfalen
Wappen der Stadt Flensburg;Flensburg(54° 47′ N, 9° 26′ O);Schleswig-Holstein SH;–;FL;56,74;70,9;102,8;95,4;87,0;89,4;89.504 (2018);1577;Lage der Stadt Flensburg in Schleswig-Holstein
Wappen der Stadt Frankenthal (Pfalz);Frankenthal (Pfalz)(49° 32′ N, 8° 21′ O);Rheinland-Pfalz RP;–;FT;43,76;27,0;25,4;41,5;46,6;47,0;48.561 (2018);1110;Lage der Stadt Frankenthal (Pfalz) in Rheinland-Pfalz
