Wappen;Land;Kürzel;Hauptstadt;Beitritt zum Bund;Regierungschef;Regierungspartei(en);Bundesratsstimmen;Fläche (km²)[12];Einwohner (Mio.)[12];Einwohner je km²[12];Ausländer (%)[13];Sprachen
Coat of arms of Baden-Württemberg (lesser).svg;Baden-Württemberg;BW;Stuttgart;1949[14];Winfried Kretschmann (Grüne);Grüne und CDU;6;35.751;10,880;304;14,2;Deutsch
Bayern Wappen.svg;Bayern;BY;München;1949;Markus Söder (CSU);CSU und Freie Wähler;6;70.550;12,844;182;12,3;Deutsch
Coat of arms of Berlin.svg;Berlin;BE;—;1990[15];Michael Müller (SPD);SPD, Linke und Grüne;4;892;3,520;3948;16,3;Deutsch
Brandenburg Wappen.svg;Brandenburg;BB;Potsdam;1990;Dietmar Woidke (SPD);SPD, CDU und Grüne;4;29.654;2,485;84;3,6;Deutsch, Niedersorbisch, Niederdeutsch
Bremen Wappen(Mittel).svg;Bremen;HB;Bremen(de facto);1949;Andreas Bovenschulte (SPD);SPD, Grüne und Linke;3;420;0,671;1599;15,9;Deutsch, Niederdeutsch
DEU Hamburg COA.svg;Hamburg;HH;—;1949;Peter Tschentscher (SPD);SPD und Grüne;3;755;1,787;2366;15,4;Deutsch, Niederdeutsch
Coat of arms of Hesse.svg;Hessen;HE;Wiesbaden;1949;Volker Bouffier (CDU);CDU und Grüne;5;21.115;6,176;293;15,1;Deutsch
Coat of arms of Mecklenburg-Western Pomerania (great).svg;Mecklenburg-Vorpommern;MV;Schwerin;1990;Manuela Schwesig (SPD);SPD und CDU;3;23.212;1,612;69;4,0;Deutsch, Niederdeutsch
Coat of arms of Lower Saxony.svg;Niedersachsen;NI;Hannover;1949;Stephan Weil (SPD);SPD und CDU;6;47.593;7,927;167;8,4;Deutsch, Saterfriesisch, Niederdeutsch
Coat of arms of North Rhine-Westfalia.svg;Nordrhein-Westfalen;NW;Düsseldorf;1949;Armin Laschet (CDU);CDU und FDP;6;34.113;17,866;524;12,7;Deutsch, Niederdeutsch
Coat of arms of Rhineland-Palatinate.svg;Rheinland-Pfalz;RP;Mainz;1949;Malu Dreyer (SPD);SPD, FDP und Grüne;4;19.854;4,053;204;9,7;Deutsch
Wappen des Saarlands.svg;Saarland;SL;Saarbrücken;1957;Tobias Hans (CDU);CDU und SPD;3;2.567;0,996;388;10,5;Deutsch
Coat of arms of Saxony.svg;Sachsen;SN;Dresden;1990;Michael Kretschmer (CDU);CDU und SPD;4;18.449;4,085;221;4,0;Deutsch, Obersorbisch
Wappen Sachsen-Anhalt.svg;Sachsen-Anhalt;ST;Magdeburg;1990;Reiner Haseloff (CDU);CDU, SPD und Grüne;4;20.452;2,245;110;3,7;Deutsch, Niederdeutsch
DEU Schleswig-Holstein COA.svg;Schleswig-Holstein;SH;Kiel;1949;Daniel Günther (CDU);CDU, Grüne und FDP;4;15.802;2,859;181;6,9;Deutsch, Dänisch, Nordfriesisch, Plattdeutsch oder Niederdeutsch und Romanes
Coat of arms of Thuringia.svg;Thüringen;TH;Erfurt;1990;Bodo Ramelow (Linke);Linke, SPD und Grüne;4;16.202;2,171;134;3,5;Deutsch
Coat of arms of Germany.svg;Bundesrepublik Deutschland (DE);DE;Berlin;—;Angela Merkel (CDU);CDU/CSU und SPD;a —;357.386;82,176;230;11,1;Deutsch (Amtssprache) und die anerkannten Minderheitensprachen in den einzelnen Ländern
