ags;community_nam;population_number;population_density
08425;Alb-Donau-Kreis;192104;141
15081;Altmarkkreis Salzwedel;86878;37
09361;Amberg;41970;8
09561;Ansbach;41847;418
09661;Aschaffenburg;70527;1129
09761;Augsburg;295135;2009
08211;Baden-Baden;55123;393
09461;Bamberg;77592;155184
09461;Bamberg;77592;1420
09462;Bayreuth;74657;1116
11000;Berlin;3644826;4090
05711;Bielefeld;333786;1289
05911;Bochum;364628;2503
08435;Bodenseekreis;205843;309
05314;Bonn;327258;2319
05512;Bottrop;117383;1166
12051;Brandenburg an der Havel;72124;315
12051;Brandenburg an der Havel;72124;313
03101;Braunschweig;248292;1288
04011;Bremen;569352;1745
04012;Bremerhaven;113634;1213
14511;Chemnitz;247235;1118
09463;Coburg;41249;854
09463;Coburg;41249;854
12052;Cottbus;100219;610
12052;Cottbus;100219;605
06411;Darmstadt;159207;1304
03401;Delmenhorst;77607;1242
15001;Dessau-Roßlau;81237;331
15001;Dessau-Roßlau;81237;331
07333;Donnersbergkreis;75508;116
05913;Dortmund;587010;2091
14612;Dresden;554649;1688
05112;Duisburg;498590;2141
05111;Düsseldorf;619294;2848
07232;Eifelkreis Bitburg-Prüm;95946;59
16056;Eisenach;42370;406
03402;Emden;50195;446
05954;Ennepe-Ruhr-Kreis;322731;790
16051;Erfurt;213699;791
09562;Erlangen;111962;1454
09562;Erlangen;111962;0
05113;Essen;583109;2772
01001;Flensburg;89504;1577
07311;Frankenthal;48561;1106
12053;Frankfurt (Oder);57873;391
12053;Frankfurt (Oder);57873;0
06412;Frankfurt am Main;753056;3032
08311;Freiburg im Breisgau;230241;1504
09563;Fürth;127748;2016
05513;Gelsenkirchen;260654;2483
16052;Gera;94152;618
05914;Hagen;188814;1176
15002;Halle (Saale);239257;1771
02000;Hamburg;1841179;2438
05915;Hamm;179111;791
08221;Heidelberg;160355;1472
08121;Heilbronn;125960;1260
05916;Herne;156374;3041
05958;Hochsauerlandkreis;268851;137
09464;Hof;45930;791
09464;Hof;45930;791
08126;Hohenlohekreis;110181;141
16070;Ilm-Kreis;109620;129
09161;Ingolstadt;136981;1027
16053;Jena;111407;970
07312;Kaiserslautern;99845;714
07312;Kaiserslautern;99845;714
08212;Karlsruhe;313092;1805
06611;Kassel;201585;1887
09762;Kaufbeuren;43893;1097
09762;Kaufbeuren;43893;1096
09763;Kempten;68907;275628
09763;Kempten;68907;1088
09763;Kempten;68907;1088
01002;Kiel;247548;2086
07111;Koblenz;114024;1083
07111;Koblenz;114024;0
05114;Krefeld;227020;1647
06431;Kreis Bergstraße;261695;363
06133;Kreis Biedenkopf;65000;159
06433;Kreis Groß-Gerau;254883;562
01053;Kreis Herzogtum Lauenburg;192999;152
01054;Kreis Nordfriesland;163960;78
05138;Kreis Rees;122300;231
01060;Kreis Segeberg;272235;202
05970;Kreis Siegen-Wittgenstein;275909;243
05840;Kreis Soest;123700;194
01062;Kreis Stormarn;236705;308
05842;Kreis Wittgenstein;45500;93
16065;Kyffhäuserkreis;77110;74
05315;Köln;1085664;2680
06532;Lahn-Dill-Kreis;252106;236
07313;Landau in der Pfalz;46677;562
07131;Landkreis Ahrweiler;125837;159
09131;Landkreis Aichach;39411;50
09131;Landkreis Aichach;39411;0
09131;Landkreis Aichach;39411;0
09131;Landkreis Aichach;39411;0
09131;Landkreis Aichach;39411;0
09131;Landkreis Aichach;39411;0
09771;Landkreis Aichach-Friedberg;128435;164
16077;Landkreis Altenburger Land;91607;160
07132;Landkreis Altenkirchen (Westerwald);129166;201
09171;Landkreis Altötting;109422;192
07331;Landkreis Alzey-Worms;125173;212
09331;Landkreis Amberg;46987;64
09331;Landkreis Amberg;46987;0
09331;Landkreis Amberg;46987;0
09331;Landkreis Amberg;46987;0
09331;Landkreis Amberg;46987;0
09331;Landkreis Amberg;46987;0
09371;Landkreis Amberg-Sulzbach;94617;75
03451;Landkreis Ammerland;122698;168
15082;Landkreis Anhalt-Bitterfeld;168475;115
09571;Landkreis Ansbach;157632;79
09671;Landkreis Aschaffenburg;152367;217
09772;Landkreis Augsburg;251534;234
03452;Landkreis Aurich;190066;147
09133;Landkreis Bad Aibling;42605;1
09133;Landkreis Bad Aibling;42605;1
09133;Landkreis Bad Aibling;42605;1
09133;Landkreis Bad Aibling;42605;1
07332;Landkreis Bad Dürkheim;130927;220
09672;Landkreis Bad Kissingen;99022;87
07133;Landkreis Bad Kreuznach;155306;179
09134;Landkreis Bad Tölz;36381;0
09173;Landkreis Bad Tölz-Wolfratshausen;126572;113
09471;Landkreis Bamberg;119829;250
09471;Landkreis Bamberg;119829;102
09471;Landkreis Bamberg;119829;2
09471;Landkreis Bamberg;119829;2
09471;Landkreis Bamberg;119829;2
09471;Landkreis Bamberg;119829;1
09471;Landkreis Bamberg;119829;1
12060;Landkreis Barnim;173193;116236
14625;Landkreis Bautzen;304691;127
09472;Landkreis Bayreuth;96772;217
09472;Landkreis Bayreuth;96772;76
09472;Landkreis Bayreuth;96772;2
09472;Landkreis Bayreuth;96772;2
09472;Landkreis Bayreuth;96772;2
09472;Landkreis Bayreuth;96772;1
09472;Landkreis Bayreuth;96772;1
09332;Landkreis Beilngries;16322;0
09135;Landkreis Berchtesgaden;37519;59
09135;Landkreis Berchtesgaden;37519;0
09135;Landkreis Berchtesgaden;37519;0
09135;Landkreis Berchtesgaden;37519;0
09135;Landkreis Berchtesgaden;37519;0
09135;Landkreis Berchtesgaden;37519;0
09172;Landkreis Berchtesgadener Land;90689;107
07231;Landkreis Bernkastel-Wittlich;110833;94
08426;Landkreis Biberach;194019;137
08426;Landkreis Biberach;194019;137
07134;Landkreis Birkenfeld;81135;104
09231;Landkreis Bogen;30732;59
09231;Landkreis Bogen;30732;0
09231;Landkreis Bogen;30732;0
09231;Landkreis Bogen;30732;0
09231;Landkreis Bogen;30732;0
09231;Landkreis Bogen;30732;0
09231;Landkreis Bogen;31553;61
09231;Landkreis Bogen;31553;0
09231;Landkreis Bogen;31553;0
09231;Landkreis Bogen;31553;0
09231;Landkreis Bogen;31553;0
